id,left,top,right,bottom,row_index,col_index
"1",100.119736916,6.721694625,100.209206916,6.632080625,"0","0"
"2",100.119736916,6.632080625,100.209206916,6.542466625,"1","0"
"3",100.119736916,6.542466625,100.209206916,6.452852625,"2","0"
"4",100.119736916,6.452852625,100.209206916,6.363238625,"3","0"
"5",100.119736916,6.363238625,100.209206916,6.273624625,"4","0"
"6",100.119736916,6.273624625,100.209206916,6.184010625,"5","0"
"7",100.119736916,6.184010625,100.209206916,6.094396625,"6","0"
"8",100.119736916,6.094396625,100.209206916,6.004782625,"7","0"
"9",100.119736916,6.004782625,100.209206916,5.915168625,"8","0"
"10",100.119736916,5.915168625,100.209206916,5.825554625,"9","0"
"11",100.119736916,5.825554625,100.209206916,5.735940625,"10","0"
"12",100.119736916,5.735940625,100.209206916,5.646326625,"11","0"
"13",100.119736916,5.646326625,100.209206916,5.556712625,"12","0"
"14",100.119736916,5.556712625,100.209206916,5.467098625,"13","0"
"15",100.119736916,5.467098625,100.209206916,5.377484625,"14","0"
"16",100.119736916,5.377484625,100.209206916,5.287870625,"15","0"
"17",100.119736916,5.287870625,100.209206916,5.198256625,"16","0"
"18",100.119736916,5.198256625,100.209206916,5.108642625,"17","0"
"19",100.119736916,5.108642625,100.209206916,5.019028625,"18","0"
"20",100.119736916,5.019028625,100.209206916,4.929414625,"19","0"
"21",100.119736916,4.929414625,100.209206916,4.839800625,"20","0"
"22",100.119736916,4.839800625,100.209206916,4.750186625,"21","0"
"23",100.119736916,4.750186625,100.209206916,4.660572625,"22","0"
"24",100.119736916,4.660572625,100.209206916,4.570958625,"23","0"
"25",100.119736916,4.570958625,100.209206916,4.481344625,"24","0"
"26",100.119736916,4.481344625,100.209206916,4.391730625,"25","0"
"27",100.119736916,4.391730625,100.209206916,4.302116625,"26","0"
"28",100.119736916,4.302116625,100.209206916,4.212502625,"27","0"
"29",100.119736916,4.212502625,100.209206916,4.122888625,"28","0"
"30",100.119736916,4.122888625,100.209206916,4.033274625,"29","0"
"31",100.119736916,4.033274625,100.209206916,3.943660625,"30","0"
"32",100.119736916,3.943660625,100.209206916,3.854046625,"31","0"
"33",100.119736916,3.854046625,100.209206916,3.764432625,"32","0"
"34",100.119736916,3.764432625,100.209206916,3.674818625,"33","0"
"35",100.119736916,3.674818625,100.209206916,3.585204625,"34","0"
"36",100.119736916,3.585204625,100.209206916,3.495590625,"35","0"
"37",100.119736916,3.495590625,100.209206916,3.405976625,"36","0"
"38",100.119736916,3.405976625,100.209206916,3.316362625,"37","0"
"39",100.119736916,3.316362625,100.209206916,3.226748625,"38","0"
"40",100.119736916,3.226748625,100.209206916,3.137134625,"39","0"
"41",100.119736916,3.137134625,100.209206916,3.047520625,"40","0"
"42",100.119736916,3.047520625,100.209206916,2.957906625,"41","0"
"43",100.119736916,2.957906625,100.209206916,2.868292625,"42","0"
"44",100.119736916,2.868292625,100.209206916,2.778678625,"43","0"
"45",100.119736916,2.778678625,100.209206916,2.689064625,"44","0"
"46",100.119736916,2.689064625,100.209206916,2.599450625,"45","0"
"47",100.119736916,2.599450625,100.209206916,2.509836625,"46","0"
"48",100.119736916,2.509836625,100.209206916,2.420222625,"47","0"
"49",100.119736916,2.420222625,100.209206916,2.330608625,"48","0"
"50",100.119736916,2.330608625,100.209206916,2.240994625,"49","0"
"51",100.119736916,2.240994625,100.209206916,2.151380625,"50","0"
"52",100.119736916,2.151380625,100.209206916,2.061766625,"51","0"
"53",100.119736916,2.061766625,100.209206916,1.972152625,"52","0"
"54",100.119736916,1.972152625,100.209206916,1.882538625,"53","0"
"55",100.119736916,1.882538625,100.209206916,1.792924625,"54","0"
"56",100.119736916,1.792924625,100.209206916,1.703310625,"55","0"
"57",100.119736916,1.703310625,100.209206916,1.613696625,"56","0"
"58",100.119736916,1.613696625,100.209206916,1.524082625,"57","0"
"59",100.119736916,1.524082625,100.209206916,1.434468625,"58","0"
"60",100.119736916,1.434468625,100.209206916,1.344854625,"59","0"
"61",100.119736916,1.344854625,100.209206916,1.255240625,"60","0"
"62",100.209206916,6.721694625,100.298676916,6.632080625,"0","1"
"63",100.209206916,6.632080625,100.298676916,6.542466625,"1","1"
"64",100.209206916,6.542466625,100.298676916,6.452852625,"2","1"
"65",100.209206916,6.452852625,100.298676916,6.363238625,"3","1"
"66",100.209206916,6.363238625,100.298676916,6.273624625,"4","1"
"67",100.209206916,6.273624625,100.298676916,6.184010625,"5","1"
"68",100.209206916,6.184010625,100.298676916,6.094396625,"6","1"
"69",100.209206916,6.094396625,100.298676916,6.004782625,"7","1"
"70",100.209206916,6.004782625,100.298676916,5.915168625,"8","1"
"71",100.209206916,5.915168625,100.298676916,5.825554625,"9","1"
"72",100.209206916,5.825554625,100.298676916,5.735940625,"10","1"
"73",100.209206916,5.735940625,100.298676916,5.646326625,"11","1"
"74",100.209206916,5.646326625,100.298676916,5.556712625,"12","1"
"75",100.209206916,5.556712625,100.298676916,5.467098625,"13","1"
"76",100.209206916,5.467098625,100.298676916,5.377484625,"14","1"
"77",100.209206916,5.377484625,100.298676916,5.287870625,"15","1"
"78",100.209206916,5.287870625,100.298676916,5.198256625,"16","1"
"79",100.209206916,5.198256625,100.298676916,5.108642625,"17","1"
"80",100.209206916,5.108642625,100.298676916,5.019028625,"18","1"
"81",100.209206916,5.019028625,100.298676916,4.929414625,"19","1"
"82",100.209206916,4.929414625,100.298676916,4.839800625,"20","1"
"83",100.209206916,4.839800625,100.298676916,4.750186625,"21","1"
"84",100.209206916,4.750186625,100.298676916,4.660572625,"22","1"
"85",100.209206916,4.660572625,100.298676916,4.570958625,"23","1"
"86",100.209206916,4.570958625,100.298676916,4.481344625,"24","1"
"87",100.209206916,4.481344625,100.298676916,4.391730625,"25","1"
"88",100.209206916,4.391730625,100.298676916,4.302116625,"26","1"
"89",100.209206916,4.302116625,100.298676916,4.212502625,"27","1"
"90",100.209206916,4.212502625,100.298676916,4.122888625,"28","1"
"91",100.209206916,4.122888625,100.298676916,4.033274625,"29","1"
"92",100.209206916,4.033274625,100.298676916,3.943660625,"30","1"
