"","X","latitude","longitude"
"1124765",1124765,3.1140334,101.5757328
"3110927",3110927,4.31121997,101.13535428
"751537",751537,2.98804014,101.41465295
"9441259",9441259,0.29122919,102.16179305
"9504367",9504367,0.51250832,101.47552113
"806279",806279,3.97119808,102.34903958
"1101501",1101501,2.01307974,102.57156643
"961651",961651,0.67718694,101.58755489
"5776393",5776393,0.56470532,101.4822324
"6646544",6646544,0.41306389,101.86709347
"5266246",5266246,3.36980409,102.95819128
"4593213",4593213,1.62387158,100.87690392
"4590968",4590968,2.98785975,101.62535454
"2829868",2829868,2.0178488,103.28641189
"5991051",5991051,2.27975055,102.35277505
"2106316",2106316,2.92949301,102.07776406
"4531763",4531763,1.8011868,103.49997528
"6062089",6062089,3.72980856,101.81066904
"7156872",7156872,1.36018511,103.78775198
"8767644",8767644,2.3271769,102.07974809
"5135036",5135036,1.13778083,104.03823203
"1531739",1531739,2.16946121,102.34278248
"5171700",5171700,0.9175737,100.64727637
"2863862",2863862,0.48062759,101.34550116
"2726213",2726213,3.03020262,102.36958204
"6830370",6830370,3.89529892,101.89530189
"4795945",4795945,3.49538864,103.09721685
"3105577",3105577,3.42973169,101.56965588
"5609404",5609404,0.50346877,101.44549184
"7590282",7590282,1.62795845,103.67949218
"1229225",1229225,3.80865888,101.94103441
"6101388",6101388,3.23461011,101.63658582
"1384864",1384864,0.94139268,101.23857644
"8039384",8039384,4.48253295,100.65233385
"1609459",1609459,4.20118614,100.64938852
"890642",890642,3.02677164,101.48455392
"7446355",7446355,3.8562794,103.2688253
"99025",99025,4.62973086,101.13100469
"9445251",9445251,2.823996,101.43957847
"9339369",9339369,1.53387954,103.57253451
"8615964",8615964,2.3822765,102.28068515
"1911755",1911755,0.44606507,101.42579149
"8174810",8174810,2.91260982,101.87244914
"3743476",3743476,1.2779642,103.71991841
"3426090",3426090,3.0308239,101.57142325
"8098217",8098217,1.65061817,103.59462112
"4221898",4221898,3.55049981,103.27863658
"2250340",2250340,1.0339697,103.92785599
"3344928",3344928,2.93604062,101.67191783
"8750726",8750726,4.50867509,101.11869472
"1309148",1309148,0.51706676,101.40836782
"776066",776066,1.60265588,103.93350351
"8443549",8443549,1.5992288,103.87329554
"7111391",7111391,2.25234866,102.20942248
"524407",524407,1.28358278,103.78162971
"1652846",1652846,1.52559782,103.69722786
"861216",861216,3.04859696,101.73942653
"6890598",6890598,2.04371663,102.57568624
"7980215",7980215,1.65296656,103.65372358
"4475015",4475015,1.55164053,101.32983068
