"BuildingID",latitude,longitude
2993530,5.39059776,100.29814051
3468759,7.55176506,100.26850806
4341828,5.4218435,100.54828446
4875770,6.23871987,100.47206049
4365579,8.48755595,99.96661776
1617472,8.56512802,98.22565756
3712936,7.22897926,100.53386522
4007136,6.40378342,100.13821839
5039350,5.4243917,100.52022901
2234922,8.42833809,99.5113992
1879508,9.22195095,99.05708433
683409,6.85966614,100.11330459
2574343,6.35473699,100.29136192
3513367,7.62973297,100.15352686
4872007,9.75862193,99.05975017
1062735,6.60860729,99.95104138
6032357,8.40148929,99.2850679
1454150,8.50315775,98.81174124
566616,9.11870351,99.17522835
1665798,8.20699446,100.13770981
5420248,7.23883534,100.17007832
5402275,8.16946793,99.68636704
2007610,9.32106056,99.12776527
2603027,5.29791016,100.49872757
4730102,10.03702984,99.03996489
2561595,6.94113003,100.46605024
5464041,9.37282734,99.93854872
4990141,6.31564265,99.85846534
558293,5.17627658,100.46419364
1579467,6.33155968,99.86543243
3132878,6.49462587,100.22541622
3087415,8.07504562,98.91764141
6051301,7.14779801,100.61100329
2490977,7.46401018,100.00172227
421415,5.24923487,100.50158971
3616308,9.03731517,99.85253149
949947,8.59309752,98.26672194
1688605,8.87117368,98.36071264
2511685,7.00009795,100.47044746
2745498,5.60288602,100.53866015
5258846,5.66248012,100.54332947
2788179,10.07392143,98.66813125
563246,7.54891324,99.98836815
5277971,5.48994156,100.39925974
4720227,8.07890886,99.2991055
4057200,6.14634392,100.45325376
2973499,8.20208809,100.08169563
1101514,6.21782298,100.41810658
1273938,7.40587819,100.14700302
3374521,8.97394511,99.18448934
5567408,7.89851536,99.39652924
1518268,8.96384249,99.89047426
3072477,9.57700961,98.5677604
2959218,9.12766839,99.28282524
3624463,9.38831205,99.1632889
3373399,8.30103546,99.3666461
854402,8.14129267,99.76891677
1223573,8.59404125,99.51477371
1788697,7.91825949,98.38472093
4343952,5.00282299,100.52460303
91065,8.33469302,99.62415116
1451603,6.12506428,100.32896007
78945,5.47659398,100.26779252
4796511,8.11415973,100.24181093
1101346,7.84358858,98.34346787
1089501,7.53004448,99.71023042
2457908,7.1604975,100.27717791
1351046,9.04560761,98.97612255
4278693,8.31014722,98.82560341
5248528,6.80353679,99.96371558
837251,7.59684586,99.68882649
382111,6.12221392,100.39199668
427908,7.01005123,99.75449942
5641771,7.45367725,99.72796346
2582156,9.12459847,99.15418919
2424727,5.05074082,100.4607588
5282042,9.52889426,99.09631789
1147515,9.3185276,99.08849148
1993935,8.87554758,99.37782099
4810044,8.60686573,98.25680474
4066543,5.35063958,100.30324873
5145682,5.79839055,100.48111858
65060,6.68556771,100.06166114
4778842,7.91247575,99.92361656
2970072,9.28712338,98.39664089
1142592,8.03451299,98.27687756
1313780,8.12212863,98.90829644
5879772,7.25196776,100.53026221
2597245,8.41262744,99.20310004
4967666,9.93784204,98.59265067
4123302,6.75573796,100.14868924
2767069,6.39871007,100.26813698
2425696,6.66141072,100.32091426
5174122,7.81815454,98.34019574
5539336,6.44648243,100.49260893
2577428,5.28450289,100.46336938
3982681,5.164846,100.47203922
1897138,7.78915203,98.33145555
2993736,8.87808667,99.80411381
790816,7.98467509,98.36819575
1004791,5.40383574,100.40127576
2201701,5.71069833,100.52251081
2333871,6.41374585,100.25856772
238050,7.96795014,99.93910975
1821151,10.36134081,99.25021847
1444545,9.1318154,99.40291789
4313258,8.69207185,99.78247708
3036652,8.26691769,100.00469519
1081993,7.63727551,100.390066
1127331,6.096913,100.36313419
2088289,5.48200494,100.45999799
5558279,7.48415115,100.40975616
2462749,8.8411768,99.19685805
2039614,8.85354611,98.3078897
5973963,9.52414905,100.04494055
4192772,9.23194291,98.97555154
1344460,8.02586177,99.54568327
4489982,7.32235423,100.44094954
1440875,5.13730344,100.55568253
2080346,6.98829347,100.32417869
858712,7.97811174,98.28525474
475774,5.43810027,100.43344131
6024245,7.58463489,99.64412167
4703286,9.53487172,100.06298684
4901417,5.17107008,100.47714389
675262,7.19743941,100.2187044
6057386,7.18186937,99.78532948
5509438,8.15942842,99.63301384
4005190,6.96954778,100.46808236
4594978,7.84788922,99.65763013
289708,5.33325912,100.21996837
5526208,9.77194252,99.09503462
2963620,6.5385641,100.22626775
6026320,9.9614485,99.05974441
2016543,7.36421163,100.20539343
1513278,9.77225115,99.96574086
4326634,7.99768032,98.3852384
2081358,8.59644045,98.25509496
689876,6.66405429,100.43355278
5778671,6.23391678,100.40046617
3035905,7.78532559,98.33392377
3368669,6.37052212,100.14955486
4050300,8.85435936,99.90092532
1685578,8.25067712,100.16444044
348534,8.59032933,99.59722983
4238550,8.95764023,99.2778487
2511871,7.65685765,99.8862467
2340617,10.47942501,99.17436467
1623992,6.88916045,99.90332415
3270192,9.54299689,99.12850204
2514284,9.81138197,99.06670059
3000210,7.86068559,98.36997825
1941687,6.98321516,100.36585857
5354781,9.95169924,98.61167893
574119,7.35319235,100.32638546
2862854,5.31059438,100.26387445
3518414,8.44865576,98.35455598
2824492,7.56877485,99.61195681
2588367,8.0552275,98.75218382
838479,6.78431119,100.07741927
354644,5.64690514,100.51259607
2844456,7.59068843,99.61550552
1568390,8.3940049,99.92579249
161364,10.41488745,98.78477695
3474595,6.98261546,100.36951877
4858483,7.15599533,100.579636
2784565,9.01701242,99.91528521
1007864,6.13918107,100.33413727
177791,6.44230275,100.20172477
897708,5.02031291,100.42050436
230867,8.61066183,98.36209107
5843533,6.28168755,99.73357258
751768,8.39760847,98.74331778
5174138,6.24183032,100.4174114
1083897,8.16625182,99.65977691
5608777,6.38453296,99.86627641
1093899,8.00253781,99.99850595
2167762,8.06899331,100.08891599
1207319,8.42506895,100.05583793
4085970,8.84365309,99.25235337
4160877,10.19143358,99.13204096
5993615,7.14334445,100.21845042
2647702,5.47575056,100.38031738
5681591,8.44699957,98.67840317
4389883,8.42529476,99.5781746
3622776,9.05029989,98.9526022
1965149,6.46562132,100.24549374
4138329,7.85128906,99.96284425
2142241,8.91365608,99.16410787
3141354,8.05073154,98.93269961
5731135,7.59229797,100.08074686
5324769,5.1533853,100.47156923
682802,6.34020379,100.19297811
955392,9.14638936,99.31923485
181786,7.2263016,100.56627202
2562822,6.8125124,100.11220727
1900035,5.35218191,100.44628762
567420,6.18267471,100.36662445
4780869,6.16983863,100.30409658
521405,6.54091871,100.05084781
2848081,7.63514051,100.32947254
3827762,7.61605213,100.0582746
5997725,8.40619795,98.81423336
2045877,5.64079187,100.52102923
758282,9.71664478,99.98704843
4643274,9.15181756,99.59438059
4731158,8.1944173,99.91792936
5722418,8.03843166,99.89716856
3125195,8.95666464,98.27380218
3063651,5.66103585,100.50970694
4297077,9.4372503,99.0851827
2222255,5.47828869,100.388922
5257568,6.253654,100.44852136
201283,5.40445906,100.29327034
5299169,7.03009609,100.43104446
4320065,6.9715446,100.50378828
1013458,5.85765813,100.55177853
4584306,5.27926004,100.28376774
1742366,9.22129429,99.75294198
2489024,7.64590044,99.56776191
2823239,8.35536205,99.98066837
5914219,8.64116465,98.25878389
4342660,6.35341009,100.35695265
2982172,8.10865795,99.11955851
4418987,8.42644658,99.50764808
4346997,8.32384512,99.87986812
1792315,5.45486689,100.30435314
799293,6.08932503,100.41663472
1690576,8.84881208,98.62655401
2147306,8.27064441,99.05147657
2054266,8.21101561,99.86691621
1253460,5.36650052,100.45262411
2004851,5.11724376,100.43494906
5572121,5.35134394,100.22862051
2520215,5.28755617,100.23064817
1006341,6.12190765,100.40735213
3307535,6.94851926,99.69065887
2322577,8.44370736,99.97555016
5591071,7.37362668,99.79237416
3809668,10.44309495,99.09733022
390936,7.48510133,100.07745312
1603895,7.61507141,99.5910358
3484646,5.38646555,100.31462667
5898035,7.69127033,99.95778424
861925,8.43910072,99.96309108
5446209,8.48960514,98.71949146
5310581,5.36205967,100.46117586
764230,8.12819656,98.30119908
5186009,5.71495421,100.40178735
2126271,6.33625597,100.31737734
4680402,8.51993968,98.63532973
4495531,9.09588212,98.95815149
539909,7.27037423,100.33053201
2307042,9.12446011,99.20533159
3909499,7.9010669,98.59570312
4353110,8.168514,99.69690447
2657941,6.4798928,100.19819938
4700105,6.86519899,100.41131193
2994576,5.36241892,100.43941473
5683066,9.41202077,99.0877826
1839474,8.07181149,98.99816673
3930989,9.58926973,99.13902694
2526763,6.20435693,100.61038297
3977898,5.1388354,100.48995029
1829870,7.11450437,100.58824294
2410331,5.2487817,100.48440762
3802786,6.94506967,100.57332096
4633826,7.51799948,99.64965564
1436014,7.43513995,99.56456442
1659748,5.35465222,100.23164566
4221083,6.16984936,100.46253394
624350,9.55371015,100.05082125
4110784,6.9488971,100.43024608
6035472,9.95068784,98.63886261
4676797,5.37602804,100.55758805
5232417,9.17990039,99.29315999
2192000,7.90535799,98.30445599
784161,6.15961223,100.54278071
2998391,8.3575762,100.05645097
808888,6.02361569,100.50644848
4472446,7.20831422,99.72253498
5239730,8.62169911,98.97255892
3084928,8.17280169,100.14537445
6029359,7.3993411,99.41271219
2612909,6.14842973,100.42453779
17143,5.42140937,100.40946669
130475,5.0413979,100.39287344
195788,5.6538339,100.49284993
5450210,8.50331765,99.09189701
5769626,7.95901112,99.22218845
5476463,8.36046704,100.1955116
2030213,6.15424613,100.37519821
4840400,7.06865421,100.45667218
3566888,7.88052391,98.40024799
