"","latitude","longitude"
"2702122",10.01281636,105.65128875
"1845818",10.0295127,105.78748487
"2188525",6.5641312,101.29702589
"8399770",6.08049743,102.32191961
"1567758",9.16995806,105.15613396
"6394772",6.08328643,101.8778644
"1264755",6.79855845,101.27879072
"1459750",10.0993562,105.74675872
"7907951",9.96034397,106.24191095
"111772",9.55537301,105.45045168
"1026193",9.34458179,105.93381191
"4033139",10.12842711,105.9547841
"7246161",9.99758067,105.16946792
"6346334",10.09243023,105.68696721
"6904938",10.01060269,105.69157938
"2707091",10.11032327,106.47746251
"1831118",6.21040721,102.12724011
"7147032",9.81841165,106.16577947
"1617430",5.34160844,103.05240858
"2983345",9.20539104,105.60693019
"4916162",9.87621915,106.22457227
"7890290",9.61076967,105.96715919
"1479511",9.74798171,105.5325541
"214302",5.16850698,103.17003812
"2111948",9.94781013,105.12623136
"5615915",6.07948171,102.2546268
"4300955",6.13407007,102.25798906
"548325",5.74745436,102.24035698
"4209695",6.20465817,101.84522292
"5099921",5.30773014,103.08994346
"6031851",10.0241192,106.3309267
"4471187",5.77182079,101.95539208
"5963517",6.10586784,100.70587172
"5600850",5.80668054,102.57319509
"7920307",9.76385558,105.44746173
"8116526",10.20775117,105.8153394
"3589447",10.15783163,106.09355314
"7884637",9.19344973,105.13359808
"1962934",10.06362321,105.53715552
"4030283",5.47652528,101.90854428
"6404403",9.60978484,105.54791129
"1685861",9.40169535,104.93215204
"7947492",10.08934775,105.01556259
"7257651",9.9775131,106.35163061
"2728893",9.95690488,105.56922441
"7666777",10.18802852,105.00441412
"276448",10.09636935,105.97282322
"254248",6.19881158,101.82120232
"4496998",9.94293721,105.96428785
"4889002",10.15342144,105.6940431
"1860730",9.72989123,106.48165342
"674224",9.58068308,106.08902322
"3115574",5.03606362,100.78544241
"4440379",9.55636881,105.93902191
"2676730",8.89794681,104.80180537
"277230",6.12257163,102.20714018
"7707513",5.30623563,103.11564991
"1523359",5.88121645,102.33987884
"3361400",6.8693881,101.45878706
"160543",8.97662888,105.19594884
"5387486",9.36476004,104.88721583
"1487515",9.15047309,105.08464361
"3593588",6.01310846,100.68524111
"2050488",10.03836888,105.74958819
"6349652",6.53897472,101.29221954
"7882645",8.94947303,104.9142514
"5145998",6.88186385,101.40577946
"8452022",6.85660689,101.18203546
"2023636",9.72141162,106.10128475
"2699872",9.21308832,104.8390576
"2328522",6.0490415,102.34635691
"56908",9.96329402,106.08679019
"8292389",9.3128391,105.93406824
"1266498",9.75772808,106.03960017
"2761093",9.25275208,105.51338629
"5476586",10.05551336,106.266234
"2313684",9.03765337,105.15843478
"8223559",6.19499402,101.86734486
"5844124",10.13340248,106.4970117
"850106",10.19204753,104.92001608
"6154729",9.91555125,105.73755318
"481159",9.91097026,106.48056155
"745931",9.05281335,105.2321984
"5755631",10.21421685,105.98759459
"4484143",9.406566,105.36046285
"5011062",9.78528974,106.1560635
"5728674",6.11397283,101.70462133
"4169592",9.42362297,105.9973606
"6976551",6.77638391,100.99308423
"2202755",5.28879217,103.09939614
"2785408",9.74624187,105.53136656
"25361",8.91570978,105.01423415
"922256",9.79150453,105.66855458
"245816",6.08455232,102.29116917
"8293182",10.02845034,105.83794172
"6600639",9.88308477,105.76509771
"753288",9.95571662,105.64552655
"3189878",9.38788334,104.88387815
"7456677",6.52265514,101.22435528
"87168",9.01864249,105.10941496
"7527925",5.30844179,103.15854848
"42994",9.9557849,105.96915596
"2972365",10.15122504,106.35203904
"4066293",10.19362836,106.1467087
"8236243",10.19532371,105.2495118
"8202184",9.81238608,105.10464997
"2750463",5.00758147,100.63249845
"4481682",5.2208259,103.13399244
"8197863",5.58287886,102.83749988
"1785161",6.03740911,102.18677814
"2875135",10.04909123,105.83462319
"5186574",6.07690235,102.00923818
"2914178",6.52570188,101.17492349
"5974561",9.3552255,106.15906923
"6911246",10.12378398,106.36196624
"2854974",9.92826003,106.07577957
"161451",9.39168761,105.71346527
"7451005",6.0210204,102.24022795
"7769743",9.75375976,106.44282603
"3622103",9.41341731,105.50636396
"4547186",9.38451369,105.87132983
"6939067",6.55014425,101.36429467
"3998430",9.56453669,105.83438251
"2327693",9.7906876,106.41257055
"3791913",9.98076218,106.21040958
"2251946",6.04902604,102.10523369
"6766465",6.04606447,102.11044965
"6491313",6.8654417,100.6736271
"8067726",9.77174594,105.9731746
"5957019",10.17197535,105.47444529
"8029539",9.99664317,106.20141139
"6866860",6.42099938,101.01907365
"2201733",10.09729609,106.17970897
"3435534",6.78752356,100.75024322
"5894719",10.00454867,105.65724784
"5744675",10.12638991,106.255665
"2187016",5.3073072,103.13774731
"4812225",10.18522818,105.48730347
"1622838",9.22245103,105.28916167
"4210104",9.60598787,105.96686877
"1335229",9.95420137,105.50887973
"348105",6.2187349,102.10803991
"6509119",5.98770977,101.83949338
"3466128",9.33998604,105.92635282
"1812810",6.86822373,101.36593982
"1565666",10.01616354,105.21060675
"2022481",10.24800075,104.58975252
"7178736",6.02838688,102.21526564
"6644490",9.31565365,105.84762614
"3704281",6.73484146,101.25757042
"2120398",6.60950061,101.33087511
"4239838",10.20766541,105.73013162
"1824199",8.75685741,104.91021723
"2780965",9.35650802,106.10098427
"8151442",6.10318184,102.25908787
"1407525",6.24844316,101.65809684
"5707865",9.67145898,105.71358087
"6515439",10.17223169,103.9701306
"7212121",6.07822241,102.03596126
"5568654",9.89438241,105.75888392
"1503661",9.75260721,105.92405852
"8447054",5.3408825,103.10681658
"5161563",8.99196184,105.17276255
"680562",6.16580067,102.25157628
"8326342",6.16512159,102.2741819
"581090",9.96883795,105.80692732
"3154068",9.9066391,105.30892207
"869770",10.06122454,106.02435754
"5364785",10.15684505,106.23540861
"4989758",9.44691075,105.55883109
"4401597",8.92268997,105.13543084
"5173800",9.21869653,105.67449504
"1243180",5.28133911,103.0499417
"6304229",9.18713933,105.2016813
"3190680",9.72409743,105.88470667
"7125716",5.77946332,102.53374507
"1957245",10.24918822,104.58637841
"6237613",9.31375314,105.49116622
"772064",9.78209872,105.74370131
"3688483",9.05240668,104.96837427
"6100024",5.59903791,102.19430464
"2331434",9.66532714,106.29567248
"8174657",10.06275856,105.05993913
"7430198",10.07537731,106.48113527
"3713234",9.51276378,105.25712687
"575353",9.03745388,104.82874692
"8056722",6.06242418,102.38848392
"2893786",5.39051946,102.23806401
"2222727",9.91523636,106.24881188
"2054769",6.05046925,102.04833979
"7311761",9.43105264,105.74204143
"2207566",6.77878729,101.19247908
"2461465",5.76624992,100.62786559
"1740418",6.86702575,101.26093869
"2719622",10.04193767,106.375865
"7614389",9.39962257,105.56387814
"5338238",9.79554128,106.47314531
"4085816",9.19195618,105.16899414
"5299704",10.05638765,106.25754861
"6072391",5.32066041,100.74837372
"6956325",9.98980583,105.88858369
"2801402",10.06140205,105.7460924
"4902177",9.78101788,105.90547736
"28025",9.40253497,105.3647255
"2261642",9.52087304,105.06589935
"4039201",9.93856242,106.06015156
"3942812",9.78572671,105.21458218
"1355320",6.10133107,102.20667531
"7405060",10.11314328,106.37917222
"7620464",5.91375879,102.2597847
"1131817",10.09555779,106.49256474
"5503324",8.95442268,104.92639976
"5310399",10.08594109,105.08532728
"8479682",9.87107793,106.34787729
"1015677",6.70805175,101.2653799
"63262",10.12951794,105.96406562
"3265049",9.99629153,106.4887336
"5726392",10.08997525,105.42747964
"2932538",9.9659178,105.38505162
"4902638",9.82447044,105.58329314
"3415209",6.03817141,102.19417491
"5848265",5.77813486,101.08574505
"8268660",9.91685595,105.83960424
"7547563",9.64052805,105.66704199
"1065473",6.15388316,102.27324307
"4237152",10.15178146,105.74008354
"7582249",6.82960213,100.78616512
"6268108",6.83802187,101.01091602
"14814",6.07429524,102.22550163
"7865162",9.91926621,106.34521856
"8286256",10.18422553,104.94842067
"2255890",10.2212998,105.62190348
"1626108",10.16977103,106.13986404
"647990",10.13912583,106.40385194
"1783753",9.13864318,105.17095052
"4519566",6.40122893,101.37247692
"6671888",9.16884501,105.25285803
"5548284",10.1344333,105.26369386
"4241306",9.9214596,105.48077196
"3059676",9.55715614,105.96782694
"1445092",10.04033256,105.83209193
"8367820",9.89759954,105.15572535
"5615891",6.04240341,102.20834129
"5438379",9.80310158,106.34395239
"5744598",7.15307329,100.62014721
"7099788",10.21458218,106.04273444
"6468315",9.6022729,104.925832
"395435",6.65366609,101.48770341
"44487",9.81689171,105.40922799
"4641309",9.2171452,105.12611248
"1796646",9.41457655,105.85299812
"3786703",8.88712068,105.25887074
"8449276",5.78013507,101.14440408
"6992139",9.96709612,106.34618664
"2235515",9.87631111,105.64822212
"15966",9.63055812,106.19697596
"7745393",9.9713603,105.10899913
"3954152",9.4560925,105.20176185
"3269073",5.06400049,103.01556171
"7725806",9.99546855,105.17847178
"6854023",9.92970356,106.21578625
"7278257",6.0392599,102.0576822
"4144317",10.20666106,104.00256721
"6684374",9.38420989,105.88959907
"5913557",9.34615897,106.07733836
"6553958",10.17838873,106.28407042
"6872656",6.03317605,102.25921649
"1678060",9.91004434,105.9651949
"2770331",6.70083771,101.2954994
"6414033",10.02517474,105.11686647
"7269440",5.56276375,102.85737944
"2486536",9.96464097,106.08628324
"2587229",5.14392375,103.12022455
"1108683",5.6909377,102.20536707
"7114271",9.93225027,106.33911187
"3081234",9.99200374,105.80991107
"7440260",9.16426657,105.24974338
"2073629",8.76847534,105.10361827
"5878343",5.6688478,100.87956373
"4430055",10.14459011,105.88554089
"5563139",6.17686616,102.28004051
"8398815",9.4416441,105.97158674
"4591378",9.91631372,106.24881015
"4607888",10.23059223,103.97897091
"4048160",6.14466404,102.24806591
"6018797",9.93248847,106.34556926
"3282063",6.53978147,101.73942558
"8241783",9.49914862,105.63926109
"2514540",7.13996194,100.62246234
"4113265",9.98528907,105.86542688
"5755454",9.95204755,105.12336569
"2403622",9.25222598,105.63846252
"657665",9.52362313,106.19395853
"6221508",10.19745878,106.01088846
"8077482",9.82919276,105.51491321
"2528388",9.81915856,105.81393005
"4698727",9.94262392,105.98895002
"3229164",9.14235451,105.18406318
"4965989",10.20141362,105.57622361
"8086391",10.10630247,105.82677409
"6199575",10.10984979,105.20611754
"7450934",9.97821133,106.33999816
"1382402",6.05036765,101.20378746
"3081415",10.04079596,106.3662114
"8404881",10.02154332,105.7690862
"4677913",6.33074695,101.30062302
"7913543",10.16720737,106.1010928
"5050387",6.87094214,101.32109017
"3785238",10.15010851,106.27987963
"2188310",9.8815296,105.86067894
"1129651",10.17751308,105.66536954
"6168203",9.6015923,105.96050191
"6296140",5.55717084,101.11363935
"183943",9.93443045,105.88195869
"7240682",6.13039724,102.19913019
"194782",9.84588943,104.96629549
"1716829",9.90651118,106.31124191
"177745",9.87102548,105.07437791
"5756810",6.90457811,100.63954691
"5832914",10.0323807,106.40535356
"7228945",6.59077243,101.21549502
"3683196",10.07721013,105.99615591
"4905280",9.75258924,106.20199752
"314078",9.86957669,105.29771773
"8046879",6.47242345,101.3429466
"1887377",9.07475025,105.05925425
"3633525",9.92342415,105.71945087
"4827276",6.6643719,101.5504266
"1971039",6.87454044,101.246659
"4906543",9.61650005,106.22816935
"4063523",5.25792798,103.05854086
"3198912",6.4173822,101.81947053
"1883176",9.83867472,105.96391365
"2781974",10.08138039,105.99871207
"302171",10.04268076,105.77326714
"5146050",9.92862006,106.52758496
"6626761",9.26205444,105.55550146
"3858815",5.82482479,101.70820246
"5894620",8.77658861,105.05436379
"2230885",6.28001466,102.02541565
"7369220",6.5156172,101.15660739
"5049145",10.08281385,106.48375907
"3771782",9.71950819,105.08448583
"2025063",8.84785374,104.94878889
"3694353",6.1156178,102.27404977
"3409235",9.6752653,106.0553453
"6636088",9.03013493,104.89222548
"4868812",5.30082217,103.02855421
"2054590",10.01512035,105.75582317
"1451239",9.34106824,105.36006846
"3820912",6.19255923,101.26494701
"2403806",10.14242189,105.4571526
"5280913",9.99611572,105.73094311
"3158200",9.67957517,105.78277591
"1954666",6.84678746,101.18739409
"1948144",9.80112063,106.38635106
"8508060",6.00415378,102.18240476
"650353",9.69601774,105.66089799
"846657",6.20835187,102.2215886
"3367559",9.94388084,105.62085488
"6541831",9.47516559,105.50211381
"6259377",6.09986376,102.26433157
"602349",6.06645076,102.0625625
"2648125",6.09292675,102.19666863
"2196429",9.36795022,105.13869563
"1738419",9.88167637,105.12569099
"5698849",7.04023303,100.70519511
"8290792",9.50886521,105.49257415
"6798203",5.7764077,101.07240104
"8061315",9.31807416,105.79728298
"4467025",10.11762794,106.28738774
"1838433",7.16007683,100.62173457
"5019272",9.36727,105.54522234
"5445220",6.83372902,101.27505344
"2401559",6.80640443,101.21024131
"5341796",8.82441813,105.25271076
"329040",10.00523397,105.79936821
"3575093",9.26889399,105.68662371
"7368706",9.88791478,106.12816303
"7542038",9.82360148,106.00628365
"1001088",10.05912919,106.09233696
"1481397",10.16645164,105.21843809
"2428715",9.70517781,105.6456313
"388645",5.51572828,100.75124451
"7024950",9.88219611,105.17535061
"570502",9.16243031,105.54359594
"5143163",9.68019207,106.37781269
"6445390",8.93009381,105.05572968
"1904098",10.1862644,106.18833633
"5619087",6.24829726,102.03658303
"448871",9.70195228,106.24937927
"4665608",6.44683811,101.82234653
"8125243",10.18718189,105.07223093
"6005400",9.55744381,105.29165828
"3724189",9.78976639,106.37790326
"5608566",9.69684416,106.05738348
"7626140",10.16715213,105.28184293
"6170911",6.84413555,101.17989615
"4784330",9.18284958,105.00111141
"6547981",6.12278255,102.29600213
"771623",6.80849652,101.47860755
"3555825",6.2487067,101.65848982
"2618496",9.98152644,105.6957922
"8541188",5.34025644,103.10670966
"108207",6.92967261,100.79167423
"4467640",9.89658962,105.89792762
"4964556",6.74425671,101.04546299
"632816",10.15172137,105.21030873
"4200960",9.8162562,105.26611443
"8551753",8.83349954,105.17677824
"4793494",9.98770951,105.69312984
"63209",9.92031597,105.12360098
"5154542",9.14237836,105.07398636
"5935535",5.28674969,103.10240826
"7557539",6.4988958,101.28521438
"6769892",5.66287261,100.8771798
"6246317",5.93620866,101.88466184
"1650826",9.2944717,105.69877077
"4299958",9.85851193,106.43257258
"4836943",10.24920067,104.58843514
"1389264",9.69134162,106.49681229
"2622432",10.06813799,106.19245924
"7316860",9.7299364,105.64951005
"5018818",9.99614275,105.0962923
"1317142",9.6243348,105.96610223
"2967954",9.96539746,105.29788946
"1021732",6.00822611,102.33497593
"2883787",10.20138691,105.4926977
"6792790",9.29840212,105.7084336
"4451608",9.92466732,105.12180636
"2870507",9.32137843,105.98214551
"1957532",9.61739324,106.49223582
"8384780",9.91653566,106.16742504
"752756",10.14454772,106.45216094
"133846",5.91858569,102.31806804
"4682463",6.01149208,102.31037813
"5006043",9.96514976,106.19147401
"7370859",6.07822353,102.25855809
"6887572",9.99024089,105.79291301
"7448907",5.30352362,103.08491066
"6174512",9.30106268,105.8650688
"543911",6.44552345,101.81786337
"6991375",9.74318192,106.37723519
"7456703",9.51250128,105.2533895
"670962",10.07194528,105.71626357
"1762724",10.15829716,105.56611467
"7722668",9.53767846,105.91975761
"6284944",5.5146794,100.62207825
"2139159",9.91519286,106.3352785
"1757118",9.60868843,106.2210028
"8154543",10.04911549,105.72551404
"4818193",6.1242326,102.17093422
"6153948",8.86577748,104.91290398
"4760929",9.80978385,106.06634935
"7214698",5.75516782,102.13625112
"1281695",5.2096048,103.07079573
"7984234",10.04724946,105.86581648
"735495",10.11751365,106.09375188
"2911390",9.67290438,105.22107846
"3906295",6.73535308,101.05258386
"6030166",10.16655286,105.77985623
"294926",5.99944657,102.11032269
"7905745",8.86063688,104.93400242
"2080232",9.99546169,105.97530983
"1183167",6.15670274,102.16910324
"6647803",6.80786424,101.47599348
"4445392",6.44878939,101.34962318
"7170890",6.08557574,102.03319008
"1604125",9.13784893,105.1758254
"8506085",9.82733146,105.074315
"6968413",6.83810713,101.27024026
"3041390",6.8556655,101.49258576
"2611168",5.94465198,102.43999432
"2086290",9.67983744,105.95672257
"948427",9.37464382,105.79792583
"8273711",5.70047302,102.20254456
"7263913",9.02890362,105.23041965
"5959601",6.44738838,101.8121552
"5933939",9.58669097,105.95739486
"3851125",9.15464766,105.49728161
"2567966",6.22357851,101.67346232
"2253503",9.73423986,106.25936349
"1996505",9.55170284,105.02350793
"8234683",6.19798576,101.74725576
"7341057",10.06771232,106.0509492
"3476737",10.03638839,105.78322831
"6527164",9.13221374,105.10763119
"4113565",10.0982331,105.83046811
"6772408",10.08705595,105.70238333
"8434600",9.66048409,106.28691237
"8241439",5.80206867,102.22783459
"7823296",9.13919574,105.36821276
"2509958",6.00210331,102.20012221
"6749996",9.47805559,105.16134581
"3480671",8.82671451,105.25535001
"7260017",6.12982703,102.27995108
"8197425",6.07865017,102.24574223
"7200594",9.63486595,105.18151192
"5579281",9.75129472,105.54040357
"4734671",9.70180291,105.61990932
"870547",10.19975601,105.2860069
"5548929",9.49939006,104.84431645
"6821360",5.26039933,103.05298351
"1110482",8.97922243,104.90773694
"6250878",9.95435569,105.32729014
"4955173",10.23082146,105.61507813
"3017328",6.07162366,102.39086831
"1571122",6.03819784,101.97931745
"8366016",10.24837684,105.26720059
"6326330",5.7775556,100.89833945
"4557117",9.94020965,105.93245221
"5715659",5.54467414,102.20116514
"553438",6.24612494,101.97603689
"3073416",10.22153026,105.71854029
"7442031",9.78959238,105.26565809
"7592294",9.40132159,105.60780555
"1503036",8.94800482,105.04032533
"5106608",10.13055457,106.25563652
"2376157",6.30872186,101.71032397
"4722501",9.17782946,104.88431989
"2481170",9.96566665,105.7923908
"8171490",10.08205055,105.94802915
"4837772",10.04134708,105.85151633
"200871",6.03856038,102.24073161
"621751",6.0551837,102.2585484
"5976958",6.06703251,102.38446272
"3801861",6.41888391,101.27920107
"8543091",9.91865452,105.7130385
"15295",9.65487747,106.26573937
"5660715",10.18574138,105.48274363
"8368660",9.66449919,105.57823642
"5393903",9.16021517,105.01888023
"5440399",10.03105396,106.12434082
"5446820",5.13528958,100.8338851
"4327569",9.25246624,105.18068556
"8081257",9.64183889,105.67910993
"7021280",8.88735668,104.87616696
"8439735",6.8747382,101.26184183
"8192771",10.13445555,105.91625027
"5387402",10.02249286,106.3485268
"7947589",6.73323975,100.97056938
"1130765",6.09852618,102.23253286
"4220648",10.2101358,105.86523729
"1178119",6.69366428,101.41436147
"7566931",9.67893675,104.88026533
"8155900",9.98776555,105.68080729
"5057452",6.27552794,101.5218987
"76510",5.8854831,102.44923029
"6931957",6.4294946,101.59128198
"4843673",9.41961116,104.97769831
"6540754",10.07967473,105.91180071
"8427057",9.23503779,105.21767804
"3122625",10.02204757,106.14412151
"3540695",5.72264331,102.61304065
"3029296",10.05525625,105.72565372
"313383",6.00026175,102.00942169
"2762501",10.16762669,105.47194183
"8223796",10.14497365,106.38084231
"4881029",9.64818331,106.48384947
"8526735",5.85322297,102.51534121
"1276955",9.78644801,105.91668628
"1916935",10.11406733,105.84021618
"5617085",6.3979465,101.75295319
"2437206",10.0694329,104.00582896
"6035891",9.82079093,105.22029169
"3940984",9.30439053,105.09790806
"7927952",6.016011,102.10651766
"5097822",9.59550343,105.95859564
"3351696",10.00973016,105.44442803
"840548",10.00678757,105.67069135
"1263077",9.76585777,106.4048154
"7014836",5.80742865,100.67154467
"5226373",10.06273141,105.82632671
"4391654",9.10549869,104.85340582
"837725",5.1314999,103.24677659
"8360165",6.52698281,101.65483464
"7251782",10.01793663,105.80172669
"4699866",10.12667812,106.39790034
"3348282",6.39250674,101.83238554
"1545514",6.69792186,101.61972418
"1990309",9.55984748,105.44894936
