,id,left,top,right,bottom,row_index,col_index,API_18,Temp_18,Humidity_18,Precip_18,Wind_18,Vegetation_18,Traffic_18,Building,Altitude,Population_18
0,1,100.119736916,6.721694625,100.258300980606,6.601694625,0,0,32.9849717318229,28.1178216647464,83.7061000925849,5.47918678661463,13.399430463109,57482.7514501544,18125.1357068494,44,173.212121212121,50.9718727203
1,2,100.119736916,6.601694625,100.258300980606,6.481694625,1,0,32.8078468323668,28.193507682378,83.7488238004071,5.46491638809683,13.5003675047399,35515.5980620255,16206.9016973483,209,67.8515625,197.335443770635
2,3,100.119736916,6.481694625,100.258300980606,6.361694625,2,0,32.7954148876649,28.2327187568724,84.0317859569641,5.37753466971261,14.2475616773385,18271.4985450956,24059.2747110179,556,13.7341040462428,652.806858214204
3,4,100.119736916,6.361694625,100.258300980606,6.241694625,3,0,32.9020008735815,28.2588761280264,84.2101465028267,5.23700449797504,15.1520162614714,8972.39553643851,26336.0949506394,238,3.86842105263158,326.200739810769
4,5,100.119736916,6.241694625,100.258300980606,6.121694625,4,0,,,,,,,,7,,245.2623624875
5,11,100.119736916,5.521694625,100.258300980606,5.401694625,10,0,,,,,,,,28,199.02380952381,163.056089550192
6,12,100.119736916,5.401694625,100.258300980606,5.281694625,11,0,35.2599314627811,28.586845650672,78.4404799997348,3.34189296145709,15.6647604161857,14501.7700807608,55899.004922988,311,86.0952380952381,568.477971766225
7,13,100.119736916,5.281694625,100.258300980606,5.161694625,12,0,,,,,,,,0,95.0,538.785799668889
8,47,100.223659964454,6.661694625,100.36222402906,6.541694625,0,1,32.9425959134335,28.145420730237,83.9160684254645,5.47080340378808,13.7035214105767,49390.5531262829,21591.761495539,131,50.0575539568345,86.5086116592113
9,48,100.223659964454,6.541694625,100.36222402906,6.421694625,1,1,32.8100949834669,28.2230628819591,84.1787607229099,5.41950693951498,14.2340640873315,20665.3794030908,25809.4974842268,383,28.0397727272727,345.891342559659
10,49,100.223659964454,6.421694625,100.36222402906,6.301694625,2,1,32.8147478261152,28.2522922428079,84.4229285109322,5.35425349064214,14.8120935884252,9702.76253876789,29699.6827133387,347,9.23369565217391,248.061465507027
11,50,100.223659964454,6.301694625,100.36222402906,6.181694625,3,1,32.9128822057813,28.3134260977741,84.561907093793,5.20478530870705,15.6938195437872,1634.31398219864,26397.9834675456,306,3.91954022988506,231.327768632386
12,51,100.223659964454,6.181694625,100.36222402906,6.061694625,4,1,,,,,,,,492,4.0,970.295933515464
13,52,100.223659964454,6.061694625,100.36222402906,5.941694625,5,1,,,,,,,,14,5.125,346.759635236364
14,53,100.223659964454,5.941694625,100.36222402906,5.821694625,6,1,,,,,,,,2,,166.236793525
15,54,100.223659964454,5.821694625,100.36222402906,5.701694625,7,1,,,,,,,,0,,267.7013245
16,55,100.223659964454,5.701694625,100.36222402906,5.581694625,8,1,,,,,,,,16,14.0,227.273396815833
17,56,100.223659964454,5.581694625,100.36222402906,5.461694625,9,1,,,,,,,,0,,
18,57,100.223659964454,5.461694625,100.36222402906,5.341694625,10,1,35.5190043594875,28.6419017018831,78.1771395035582,3.27508479172089,16.1818098631512,5675.25596470652,62632.6014131765,997,229.04347826087,4422.0350362879
19,58,100.223659964454,5.341694625,100.36222402906,5.221694625,11,1,35.7150686354849,28.5428387209049,78.2766149135423,3.27264886025314,15.5273485029042,9585.27778510381,56958.0846265136,550,48.5409836065574,3265.68562248366
20,60,100.223659964454,5.101694625,100.36222402906,4.981694625,13,1,,,,,,,,0,,
21,94,100.327583012908,6.601694625,100.466147077514,6.481694625,1,2,32.9814166171964,28.1458935891909,84.1336416114212,5.44909760292686,14.1418598354787,45566.8323515891,26754.326157764,65,63.3766233766234,153.630230525291
22,95,100.327583012908,6.481694625,100.466147077514,6.361694625,2,2,32.9003754384188,28.2144964307895,84.4443409168485,5.37934474222407,14.8192736425844,21308.4527515496,33476.9464243246,213,55.6972972972973,189.865487562391
23,96,100.327583012908,6.361694625,100.466147077514,6.241694625,3,2,32.9000045291366,28.2880038556735,84.7829620013478,5.27446369563321,15.6764338304686,5429.93993061574,32430.2067452385,493,19.2485875706215,438.814994333182
24,97,100.327583012908,6.241694625,100.466147077514,6.121694625,4,2,32.9801277701079,28.3440729824035,84.7920596861565,5.16342842758846,16.2228943438416,2354.75084450794,24765.1601560421,913,7.72881355932203,969.21766774375
25,98,100.327583012908,6.121694625,100.466147077514,6.001694625,5,2,33.4214737795681,28.3545178869772,83.330442534452,4.81911060957341,16.5084848019147,6989.53266684796,24035.7522798153,685,4.08241758241758,845.680957693442
26,99,100.327583012908,6.001694625,100.466147077514,5.881694625,6,2,33.9055143893171,28.3928276615547,81.7665583232725,4.44970624316385,16.7010901778055,10036.4906052947,23130.1023585864,250,4.32692307692308,275.249255002
27,100,100.327583012908,5.881694625,100.466147077514,5.761694625,7,2,34.2600398184189,28.437238713954,80.7189057801001,4.19226710643104,16.7875248511992,17886.5300120636,22364.000772858,214,181.675675675676,226.736491043526
28,101,100.327583012908,5.761694625,100.466147077514,5.641694625,8,2,34.806601880273,28.5146832752771,79.4140929557125,3.8412058194833,16.918358097317,37316.4927682324,22022.4743351206,258,64.6462585034014,260.798158487702
29,102,100.327583012908,5.641694625,100.466147077514,5.521694625,9,2,35.3622106743166,28.5756567671139,78.5963035577985,3.56084577832026,17.0783703769234,11432.5751499796,26907.3326241714,449,10.2704402515723,519.68061551
30,103,100.327583012908,5.521694625,100.466147077514,5.401694625,10,2,35.8338407432612,28.5828509197604,78.2681954539904,3.41679258796706,17.1187819151572,4161.59297423955,40597.9271674618,869,5.79508196721311,1934.86439755664
31,104,100.327583012908,5.401694625,100.466147077514,5.281694625,11,2,35.9780933264454,28.5418873534963,78.1551123353623,3.27643126439602,16.0351350666689,5527.66257334533,50229.0120159429,900,8.73493975903614,2458.65056934717
32,105,100.327583012908,5.281694625,100.466147077514,5.161694625,12,2,,,,,,,,111,6.91304347826087,262.085173500725
33,106,100.327583012908,5.161694625,100.466147077514,5.041694625,13,2,36.3602024000804,28.331983170069,78.5085814498485,3.2172116619889,14.1012510311521,22830.756017745,39430.4910013442,268,2.83809523809524,360.261461988525
34,107,100.327583012908,5.041694625,100.466147077514,4.921694625,14,2,36.4993517641546,28.246959846857,78.7380367865358,3.21821290408027,13.4041386868542,35039.4658409095,35573.3167694313,88,4.15384615384615,268.215908205161
35,140,100.431506061362,6.541694625,100.570070125968,6.421694625,1,3,33.05124021825,28.149697555847,84.3326048952035,5.38650702955683,14.8287162073873,44333.4181004166,32841.6397589306,59,112.870229007634,182.564544469552
36,141,100.431506061362,6.421694625,100.570070125968,6.301694625,2,3,33.1142699752945,28.158834806871,84.3604709775401,5.30678873559422,15.3884931757054,50085.3262810329,34730.3508558795,53,207.722826086957,36.2489728464865
37,142,100.431506061362,6.301694625,100.570070125968,6.181694625,3,3,33.1160296873516,28.2536361041997,84.3955649974166,5.17009987914203,16.0180085155789,14278.1133883198,31170.9271978547,190,60.9090909090909,182.336339989492
38,143,100.431506061362,6.181694625,100.570070125968,6.061694625,4,3,33.396840202129,28.299006879319,83.5936454111536,4.91490068086985,16.5019568872857,20518.0431832014,25529.5549056382,327,14.8097826086957,263.757070994946
39,144,100.431506061362,6.061694625,100.570070125968,5.941694625,5,3,33.7447582305027,28.2904229527777,82.579029128203,4.69050409215327,16.6902925581254,40765.8557374413,23373.0152761095,326,16.1129943502825,265.209256989148
40,145,100.431506061362,5.941694625,100.570070125968,5.821694625,6,3,34.1934745404794,28.3819027242239,81.1065425274779,4.31417746209515,16.8032542168693,34889.4329379088,21422.930111672,316,23.2033898305085,250.64407715892
41,146,100.431506061362,5.821694625,100.570070125968,5.701694625,7,3,34.782248691297,28.4654758990755,79.4663538202854,3.91319417889629,16.8557131761841,44136.2688480322,19632.9529772013,328,102.58152173913,409.203254466757
42,147,100.431506061362,5.701694625,100.570070125968,5.581694625,8,3,35.1294753842752,28.4667976927807,78.971692965006,3.76214009283718,16.9672453177852,51939.0583209092,18957.2306635129,1410,19.6477272727273,2010.84503755904
43,148,100.431506061362,5.581694625,100.570070125968,5.461694625,9,3,35.5970791430014,28.5383822087785,78.4015793780386,3.51349286506115,17.0624302509645,21693.6595852989,28081.7677474241,729,12.2173913043478,775.654336140815
44,149,100.431506061362,5.461694625,100.570070125968,5.341694625,10,3,35.998906688658,28.5219854585733,78.1396182787471,3.33202266511365,16.4628500138188,18020.173270182,38093.1138634897,1137,42.5819209039548,1533.00130844909
