Unnamed: 0,id,left,top,right,bottom,row_index,col_index,API,Temp,Humidity,Precip,Wind,Vegetation,Traffic,Building,Altitude,Population,Year
1,2,100.119736916,6.601694625,100.258300980606,6.481694625,1,0,0.0,0.7531712653466266,0.5689917981213263,0.7200486634083731,0.40536895374878856,0.055153633241289156,0.17274976421759636,0.11624026696329255,0.0457477911676635,0.028158243800054283,2019
867,1458,103.341351418078,2.941694625,103.479915482684,2.821694625,31,31,0.0,0.7564463377349953,0.9280706644971511,0.7165843974904659,0.977546504734368,0.49386605503400555,0.07810688575255686,0.013904338153503892,0.009257079197456613,0.005200376731843831,2017
852,1443,103.341351418078,4.741694625,103.479915482684,4.621694625,16,31,0.0,0.6823882098597527,0.8140056460702787,0.4342362034129086,0.7396517141993757,0.3527681201262919,0.1719280848538899,0.17018909899888765,0.026911084975432542,0.06516326441410417,2018
851,1442,103.341351418078,4.861694625,103.479915482684,4.741694625,15,31,0.003769820944194189,0.6944633170655312,0.7909735555390889,0.44264499124939466,0.7470674171062143,0.3578248118721434,0.18024469174415123,0.17408231368186874,0.012493242884406387,0.08498236745753952,2018
2,3,100.119736916,6.481694625,100.258300980606,6.361694625,2,0,0.006160294719533058,0.7564446160004735,0.5843029631863207,0.6958277554684,0.4263864863702837,0.026909283856237136,0.19542889688537515,0.3092324805339266,0.007667155075856702,0.09309800577360094,2019
9,48,100.223659964454,6.541694625,100.36222402906,6.421694625,1,1,0.006311239451560157,0.7550388835106548,0.5985226722416613,0.7052593975036127,0.42356151318648966,0.03083903413908625,0.22368914417347902,0.21301446051167963,0.017733573171927433,0.048988117385725234,2019
536,988,102.302120933537,4.141694625,102.440684998142,4.021694625,21,21,0.006975562903537657,0.5422592239996837,0.8402898839998173,0.7395262575578985,0.046955331531623644,1.0,0.03140071720661305,0.024471635150166853,0.07415482292389643,0.0037136784594615432,2018
868,1459,103.341351418078,2.821694625,103.479915482684,2.701694625,32,31,0.01055579179840957,0.7506595024912367,0.9206127560840308,0.7485255161167275,0.9577959369182532,0.48309359978843797,0.09247019202610804,0.008342602892102336,0.014293755397799417,0.002906770063159394,2017
823,1398,103.237428369624,4.681694625,103.375992434229,4.561694625,17,30,0.010569302643310607,0.6901383169552524,0.7944160024215079,0.43700771600113614,0.6780235447738351,0.37388008371387543,0.1385335834504728,0.047274749721913235,0.042089156221808276,0.009968451697074675,2018
569,1035,102.406043981991,4.081694625,102.544608046596,3.961694625,22,22,0.012543263803121152,0.6446844004164822,0.8582620922603112,0.7109338054909357,0.051046697845212534,0.8556457815714252,0.047411903937571276,0.0,0.19731642996821336,0.0015809392015364637,2018
822,1397,103.237428369624,4.801694625,103.375992434229,4.681694625,16,30,0.013425626062058698,0.7109129932975988,0.7530563318223505,0.4485166868000362,0.6779773420505658,0.38892438285506914,0.13003368774972143,0.008342602892102336,0.02590170052760154,0.006577982011361238,2018
10,49,100.223659964454,6.421694625,100.36222402906,6.301694625,2,1,0.013528645965059791,0.7588703547936334,0.6127852955903594,0.6863507835478555,0.4398880793059009,0.012923242874232204,0.24153579159513383,0.19299221357063404,0.004500368992110898,0.03537634728322392,2019
568,1034,102.406043981991,4.201694625,102.544608046596,4.081694625,21,22,0.016828976950220297,0.5975284258290249,0.8683386572635,0.7044232679591095,0.09043297142108628,0.9310358094399662,0.026902374114532446,0.0,0.14837963171395432,0.00031519537470248675,2018
838,1413,103.237428369624,2.881694625,103.375992434229,2.761694625,32,30,0.017613526200171054,0.7542651195163289,0.903427020074261,0.7547362627427723,0.9038203727815642,0.47124227839568045,0.08594485177780706,0.0027808676307007787,0.014860326729952994,0.0022771687639272804,2017
537,989,102.302120933537,4.021694625,102.440684998142,3.901694625,22,21,0.020394203763238236,0.5770825804261723,0.8209524355337778,0.7670355177746834,0.0,0.8868817556418536,0.04247227697023428,0.05116796440489433,0.05600785913211494,0.03583923849241903,2018
853,1444,103.341351418078,4.621694625,103.479915482684,4.501694625,17,31,0.0222290623648304,0.6849666523958402,0.8120563728907616,0.4305438085067583,0.7138658295670024,0.3441141087842671,0.1621628748790917,0.092880978865406,0.017887302484119225,0.029782762325792782,2018
889,1505,103.445274466532,2.881694625,103.583838531138,2.761694625,32,32,0.022625532122113823,0.7514353666859037,0.9228175724027101,0.7289652916381443,0.992408425743033,0.4801890259904927,0.09050981038798044,0.03114571746384872,0.004934041641601964,0.02441163834993923,2017
8,47,100.223659964454,6.661694625,100.36222402906,6.541694625,0,1,0.022839049525745704,0.7523055689406353,0.5850549632866731,0.7153111219068998,0.4082168012277123,0.07821788189534598,0.2080553021187463,0.0728587319243604,0.033226745588152494,0.012577023090570698,2019
792,1351,103.13350532117,4.741694625,103.272069385775,4.621694625,16,29,0.024139536015526635,0.7130853251042785,0.7531446792585814,0.4520977452904281,0.6093315514731235,0.427136821110955,0.09743883474011748,0.009454949944382647,0.04778332608687916,0.002908004557877203,2018
22,95,100.327583012908,6.481694625,100.466147077514,6.361694625,2,2,0.024434396280879525,0.7572533247564925,0.616747759928892,0.6886097605953923,0.4373023138990398,0.032080682504835166,0.27683240292864764,0.11846496106785318,0.03719524336937903,0.026865423884781938,2019
601,1080,102.509967030445,4.141694625,102.648531095051,4.021694625,21,23,0.02599080453917804,0.6625233165855166,0.8754600375230328,0.6765462091289699,0.11877491325958844,0.8483598580577292,0.03007407100324351,0.0,0.24913186341389937,0.0003516029268982562,2018
0,1,100.119736916,6.721694625,100.258300980606,6.601694625,0,0,0.028294322892506125,0.752115790405609,0.5709142140417897,0.7173370535747823,0.4010720003203915,0.09152629998258104,0.18587332324862096,0.024471635150166853,0.1198864741247374,0.007550673226073172,2019
793,1352,103.13350532117,4.621694625,103.272069385775,4.501694625,17,29,0.028805514657248003,0.706851417663917,0.7737481361393668,0.4513247597630439,0.5866028360049782,0.429620697924428,0.09314375838987814,0.008898776418242492,0.05326165844859384,0.004173687304241931,2018
821,1396,103.237428369624,4.921694625,103.375992434229,4.801694625,15,30,0.02909431025941856,0.731329997361608,0.7174142648522823,0.4561595702127293,0.6842868262852422,0.3763404958270431,0.12578034913000147,0.00778642936596218,0.019663614629078063,0.0017555211303364284,2018
839,1414,103.237428369624,2.761694625,103.375992434229,2.641694625,33,30,0.03048460022707536,0.7488269483281169,0.8822017018604026,0.8158325421053123,0.8622918982957671,0.4508385218247046,0.10310984839197217,0.0011123470522803114,0.10230947433782558,0.0012644986154480074,2017
21,94,100.327583012908,6.601694625,100.466147077514,6.481694625,1,2,0.03121918319712655,0.7526002746437139,0.6001355515422304,0.7062091627474828,0.41803786715811464,0.07193171387648828,0.2390889960410886,0.036151279199110126,0.0425989269534302,0.021799708314421455,2019
