"id","left","top","right","bottom","row_index","col_index","Wind_18"
1,100.119736916,6.721694625,100.209206916,6.632080625,0,0,13.2321998448309
2,100.119736916,6.632080625,100.209206916,6.542466625,1,0,13.3405213205735
3,100.119736916,6.542466625,100.209206916,6.452852625,2,0,13.5052029224915
4,100.119736916,6.452852625,100.209206916,6.363238625,3,0,13.8827177327533
5,100.119736916,6.363238625,100.209206916,6.273624625,4,0,14.41576473673
6,100.119736916,6.273624625,100.209206916,6.184010625,5,0,14.9442070635438
7,100.119736916,6.184010625,100.209206916,6.094396625,6,0,15.4172488884329
8,100.119736916,6.094396625,100.209206916,6.004782625,7,0,15.7965180863598
9,100.119736916,6.004782625,100.209206916,5.915168625,8,0,16.0757163952137
10,100.119736916,5.915168625,100.209206916,5.825554625,9,0,16.2744613410177
11,100.119736916,5.825554625,100.209206916,5.735940625,10,0,16.4055672320924
12,100.119736916,5.735940625,100.209206916,5.646326625,11,0,16.4708652669235
13,100.119736916,5.646326625,100.209206916,5.556712625,12,0,16.4592434675041
14,100.119736916,5.556712625,100.209206916,5.467098625,13,0,16.3467052236809
15,100.119736916,5.467098625,100.209206916,5.377484625,14,0,16.1109828298989
16,100.119736916,5.377484625,100.209206916,5.287870625,15,0,15.7646245982701
17,100.119736916,5.287870625,100.209206916,5.198256625,16,0,15.3259873733503
18,100.119736916,5.198256625,100.209206916,5.108642625,17,0,14.8054135604059
19,100.119736916,5.108642625,100.209206916,5.019028625,18,0,14.2398469722686
20,100.119736916,5.019028625,100.209206916,4.929414625,19,0,13.6735433792729
21,100.119736916,4.929414625,100.209206916,4.839800625,20,0,13.1296055165265
22,100.119736916,4.839800625,100.209206916,4.750186625,21,0,12.6233872937956
23,100.119736916,4.750186625,100.209206916,4.660572625,22,0,12.1633766529443
24,100.119736916,4.660572625,100.209206916,4.570958625,23,0,11.7551571801407
25,100.119736916,4.570958625,100.209206916,4.481344625,24,0,11.4025371929564
26,100.119736916,4.481344625,100.209206916,4.391730625,25,0,11.1272115194337
27,100.119736916,4.391730625,100.209206916,4.302116625,26,0,10.9698102150637
28,100.119736916,4.302116625,100.209206916,4.212502625,27,0,10.9369811934836
29,100.119736916,4.212502625,100.209206916,4.122888625,28,0,11.0131058585826
30,100.119736916,4.122888625,100.209206916,4.033274625,29,0,11.1592547247414
31,100.119736916,4.033274625,100.209206916,3.943660625,30,0,11.3517455080169
32,100.119736916,3.943660625,100.209206916,3.854046625,31,0,11.5785100819175
33,100.119736916,3.854046625,100.209206916,3.764432625,32,0,11.8317737186817
34,100.119736916,3.764432625,100.209206916,3.674818625,33,0,12.1017020478347
35,100.119736916,3.674818625,100.209206916,3.585204625,34,0,12.3826372493305
36,100.119736916,3.585204625,100.209206916,3.495590625,35,0,12.6715471759515
37,100.119736916,3.495590625,100.209206916,3.405976625,36,0,12.964135513548
38,100.119736916,3.405976625,100.209206916,3.316362625,37,0,13.2306253394628
39,100.119736916,3.316362625,100.209206916,3.226748625,38,0,13.445165935061
40,100.119736916,3.226748625,100.209206916,3.137134625,39,0,13.6086428558044
41,100.119736916,3.137134625,100.209206916,3.047520625,40,0,13.7213521377123
42,100.119736916,3.047520625,100.209206916,2.957906625,41,0,13.7846280959189
43,100.119736916,2.957906625,100.209206916,2.868292625,42,0,13.8100078792671
44,100.119736916,2.868292625,100.209206916,2.778678625,43,0,13.8242085963806
45,100.119736916,2.778678625,100.209206916,2.689064625,44,0,13.8260155404477
46,100.119736916,2.689064625,100.209206916,2.599450625,45,0,13.81585704079
47,100.119736916,2.599450625,100.209206916,2.509836625,46,0,13.7977783763882
48,100.119736916,2.509836625,100.209206916,2.420222625,47,0,13.7756192261479
49,100.119736916,2.420222625,100.209206916,2.330608625,48,0,13.7529493413605
50,100.119736916,2.330608625,100.209206916,2.240994625,49,0,13.7345301495613
51,100.119736916,2.240994625,100.209206916,2.151380625,50,0,13.7355987273803
52,100.119736916,2.151380625,100.209206916,2.061766625,51,0,13.7567136383963
53,100.119736916,2.061766625,100.209206916,1.972152625,52,0,13.7992979800207
54,100.119736916,1.972152625,100.209206916,1.882538625,53,0,13.8638665910494
55,100.119736916,1.882538625,100.209206916,1.792924625,54,0,13.9403767080601
56,100.119736916,1.792924625,100.209206916,1.703310625,55,0,14.0184862612751
57,100.119736916,1.703310625,100.209206916,1.613696625,56,0,14.0876500251229
58,100.119736916,1.613696625,100.209206916,1.524082625,57,0,14.139663290743
59,100.119736916,1.524082625,100.209206916,1.434468625,58,0,14.1683357645221
