"id","left","top","right","bottom","row_index","col_index","Traffic_18"
1,100.119736916,6.721694625,100.209206916,6.632080625,0,0,19100.2396844287
2,100.119736916,6.632080625,100.209206916,6.542466625,1,0,17213.8416855977
3,100.119736916,6.542466625,100.209206916,6.452852625,2,0,16736.0165967882
4,100.119736916,6.452852625,100.209206916,6.363238625,3,0,20846.4843655412
5,100.119736916,6.363238625,100.209206916,6.273624625,4,0,24974.3554146731
6,100.119736916,6.273624625,100.209206916,6.184010625,5,0,24684.0412310325
7,100.119736916,6.184010625,100.209206916,6.094396625,6,0,24060.2789654997
8,100.119736916,6.094396625,100.209206916,6.004782625,7,0,23888.7440192801
9,100.119736916,6.004782625,100.209206916,5.915168625,8,0,24217.2515846159
10,100.119736916,5.915168625,100.209206916,5.825554625,9,0,24846.3479204026
11,100.119736916,5.825554625,100.209206916,5.735940625,10,0,25313.4971198904
12,100.119736916,5.735940625,100.209206916,5.646326625,11,0,25730.6999355704
13,100.119736916,5.646326625,100.209206916,5.556712625,12,0,26510.9725180629
14,100.119736916,5.556712625,100.209206916,5.467098625,13,0,29131.969111914
15,100.119736916,5.467098625,100.209206916,5.377484625,14,0,37574.5834269267
16,100.119736916,5.377484625,100.209206916,5.287870625,15,0,46726.8718987615
17,100.119736916,5.287870625,100.209206916,5.198256625,16,0,49858.4150264275
18,100.119736916,5.198256625,100.209206916,5.108642625,17,0,48323.0019227716
19,100.119736916,5.108642625,100.209206916,5.019028625,18,0,45071.1170474303
20,100.119736916,5.019028625,100.209206916,4.929414625,19,0,42007.6929600542
21,100.119736916,4.929414625,100.209206916,4.839800625,20,0,39786.5182670427
22,100.119736916,4.839800625,100.209206916,4.750186625,21,0,37456.5766613238
23,100.119736916,4.750186625,100.209206916,4.660572625,22,0,35038.7955742298
24,100.119736916,4.660572625,100.209206916,4.570958625,23,0,32871.1319804617
25,100.119736916,4.570958625,100.209206916,4.481344625,24,0,30869.7440945645
26,100.119736916,4.481344625,100.209206916,4.391730625,25,0,29051.3023252991
27,100.119736916,4.391730625,100.209206916,4.302116625,26,0,27380.8563256762
28,100.119736916,4.302116625,100.209206916,4.212502625,27,0,25781.4492746935
29,100.119736916,4.212502625,100.209206916,4.122888625,28,0,24140.6013521405
30,100.119736916,4.122888625,100.209206916,4.033274625,29,0,22234.7051967173
31,100.119736916,4.033274625,100.209206916,3.943660625,30,0,21713.8799166402
32,100.119736916,3.943660625,100.209206916,3.854046625,31,0,21984.8507403245
33,100.119736916,3.854046625,100.209206916,3.764432625,32,0,21872.0367336773
34,100.119736916,3.764432625,100.209206916,3.674818625,33,0,21313.56944891
35,100.119736916,3.674818625,100.209206916,3.585204625,34,0,20488.0703551977
36,100.119736916,3.585204625,100.209206916,3.495590625,35,0,20855.0331012675
37,100.119736916,3.495590625,100.209206916,3.405976625,36,0,21759.037499903
38,100.119736916,3.405976625,100.209206916,3.316362625,37,0,22002.4269249023
39,100.119736916,3.316362625,100.209206916,3.226748625,38,0,22120.8710432438
40,100.119736916,3.226748625,100.209206916,3.137134625,39,0,22261.5811655486
41,100.119736916,3.137134625,100.209206916,3.047520625,40,0,22401.817915917
42,100.119736916,3.047520625,100.209206916,2.957906625,41,0,22642.5515848924
43,100.119736916,2.957906625,100.209206916,2.868292625,42,0,22890.014246508
44,100.119736916,2.868292625,100.209206916,2.778678625,43,0,22990.801862388
45,100.119736916,2.778678625,100.209206916,2.689064625,44,0,22927.3545161786
46,100.119736916,2.689064625,100.209206916,2.599450625,45,0,22641.4786659502
47,100.119736916,2.599450625,100.209206916,2.509836625,46,0,22598.1302420178
48,100.119736916,2.509836625,100.209206916,2.420222625,47,0,22783.5143848107
49,100.119736916,2.420222625,100.209206916,2.330608625,48,0,22911.1020164532
50,100.119736916,2.330608625,100.209206916,2.240994625,49,0,22927.8397439472
51,100.119736916,2.240994625,100.209206916,2.151380625,50,0,22927.8397439472
52,100.119736916,2.151380625,100.209206916,2.061766625,51,0,22927.8397439472
53,100.119736916,2.061766625,100.209206916,1.972152625,52,0,22927.8397439472
54,100.119736916,1.972152625,100.209206916,1.882538625,53,0,22927.8397439472
55,100.119736916,1.882538625,100.209206916,1.792924625,54,0,22927.8397439472
56,100.119736916,1.792924625,100.209206916,1.703310625,55,0,22927.8397439472
57,100.119736916,1.703310625,100.209206916,1.613696625,56,0,22927.8397439472
58,100.119736916,1.613696625,100.209206916,1.524082625,57,0,22927.8397439472
59,100.119736916,1.524082625,100.209206916,1.434468625,58,0,22927.8397439472
60,100.119736916,1.434468625,100.209206916,1.344854625,59,0,22927.8397439472
61,100.119736916,1.344854625,100.209206916,1.255240625,60,0,22927.8397439472
62,100.209206916,6.721694625,100.298676916,6.632080625,0,1,20155.2712389175
63,100.209206916,6.632080625,100.298676916,6.542466625,1,1,18125.1357068494
64,100.209206916,6.542466625,100.298676916,6.452852625,2,1,16206.9016973483
65,100.209206916,6.452852625,100.298676916,6.363238625,3,1,21299.5160990363
66,100.209206916,6.363238625,100.298676916,6.273624625,4,1,26819.0333229996
67,100.209206916,6.273624625,100.298676916,6.184010625,5,1,26336.0949506394
68,100.209206916,6.184010625,100.298676916,6.094396625,6,1,24762.2224799847
69,100.209206916,6.094396625,100.298676916,6.004782625,7,1,24068.117707512
70,100.209206916,6.004782625,100.298676916,5.915168625,8,1,24241.0525607341
71,100.209206916,5.915168625,100.298676916,5.825554625,9,1,24392.9968620346
72,100.209206916,5.825554625,100.298676916,5.735940625,10,1,24319.293602595
73,100.209206916,5.735940625,100.298676916,5.646326625,11,1,24118.1620236997
74,100.209206916,5.646326625,100.298676916,5.556712625,12,1,23849.8602944879
75,100.209206916,5.556712625,100.298676916,5.467098625,13,1,23292.4363862094
76,100.209206916,5.467098625,100.298676916,5.377484625,14,1,40401.7500668391
77,100.209206916,5.377484625,100.298676916,5.287870625,15,1,56013.4328668807
78,100.209206916,5.287870625,100.298676916,5.198256625,16,1,55784.5769790952
79,100.209206916,5.198256625,100.298676916,5.108642625,17,1,50808.7661813218
80,100.209206916,5.108642625,100.298676916,5.019028625,18,1,45676.1208656308
81,100.209206916,5.019028625,100.298676916,4.929414625,19,1,41617.3593537551
82,100.209206916,4.929414625,100.298676916,4.839800625,20,1,38978.0780755105
