"id","left","top","right","bottom","row_index","col_index","population_density"
1,100.119736916,6.721694625,100.258300980606,6.601694625,0,0,50.9718727203
2,100.119736916,6.601694625,100.258300980606,6.481694625,1,0,197.335443770635
3,100.119736916,6.481694625,100.258300980606,6.361694625,2,0,652.806858214204
4,100.119736916,6.361694625,100.258300980606,6.241694625,3,0,326.200739810769
5,100.119736916,6.241694625,100.258300980606,6.121694625,4,0,245.2623624875
11,100.119736916,5.521694625,100.258300980606,5.401694625,10,0,163.056089550192
12,100.119736916,5.401694625,100.258300980606,5.281694625,11,0,568.477971766225
13,100.119736916,5.281694625,100.258300980606,5.161694625,12,0,538.785799668889
47,100.223659964454,6.661694625,100.36222402906,6.541694625,0,1,86.5086116592113
48,100.223659964454,6.541694625,100.36222402906,6.421694625,1,1,345.891342559659
49,100.223659964454,6.421694625,100.36222402906,6.301694625,2,1,248.061465507027
50,100.223659964454,6.301694625,100.36222402906,6.181694625,3,1,231.327768632386
51,100.223659964454,6.181694625,100.36222402906,6.061694625,4,1,970.295933515464
52,100.223659964454,6.061694625,100.36222402906,5.941694625,5,1,346.759635236364
53,100.223659964454,5.941694625,100.36222402906,5.821694625,6,1,166.236793525
54,100.223659964454,5.821694625,100.36222402906,5.701694625,7,1,267.7013245
55,100.223659964454,5.701694625,100.36222402906,5.581694625,8,1,227.273396815833
56,100.223659964454,5.581694625,100.36222402906,5.461694625,9,1,NA
57,100.223659964454,5.461694625,100.36222402906,5.341694625,10,1,4422.0350362879
58,100.223659964454,5.341694625,100.36222402906,5.221694625,11,1,3265.68562248366
60,100.223659964454,5.101694625,100.36222402906,4.981694625,13,1,NA
94,100.327583012908,6.601694625,100.466147077514,6.481694625,1,2,153.630230525291
95,100.327583012908,6.481694625,100.466147077514,6.361694625,2,2,189.865487562391
96,100.327583012908,6.361694625,100.466147077514,6.241694625,3,2,438.814994333182
97,100.327583012908,6.241694625,100.466147077514,6.121694625,4,2,969.21766774375
98,100.327583012908,6.121694625,100.466147077514,6.001694625,5,2,845.680957693442
99,100.327583012908,6.001694625,100.466147077514,5.881694625,6,2,275.249255002
100,100.327583012908,5.881694625,100.466147077514,5.761694625,7,2,226.736491043526
101,100.327583012908,5.761694625,100.466147077514,5.641694625,8,2,260.798158487702
102,100.327583012908,5.641694625,100.466147077514,5.521694625,9,2,519.68061551
103,100.327583012908,5.521694625,100.466147077514,5.401694625,10,2,1934.86439755664
104,100.327583012908,5.401694625,100.466147077514,5.281694625,11,2,2458.65056934717
105,100.327583012908,5.281694625,100.466147077514,5.161694625,12,2,262.085173500725
106,100.327583012908,5.161694625,100.466147077514,5.041694625,13,2,360.261461988525
107,100.327583012908,5.041694625,100.466147077514,4.921694625,14,2,268.215908205161
140,100.431506061362,6.541694625,100.570070125968,6.421694625,1,3,182.564544469552
141,100.431506061362,6.421694625,100.570070125968,6.301694625,2,3,36.2489728464865
142,100.431506061362,6.301694625,100.570070125968,6.181694625,3,3,182.336339989492
143,100.431506061362,6.181694625,100.570070125968,6.061694625,4,3,263.757070994946
144,100.431506061362,6.061694625,100.570070125968,5.941694625,5,3,265.209256989148
145,100.431506061362,5.941694625,100.570070125968,5.821694625,6,3,250.64407715892
146,100.431506061362,5.821694625,100.570070125968,5.701694625,7,3,409.203254466757
147,100.431506061362,5.701694625,100.570070125968,5.581694625,8,3,2010.84503755904
148,100.431506061362,5.581694625,100.570070125968,5.461694625,9,3,775.654336140815
149,100.431506061362,5.461694625,100.570070125968,5.341694625,10,3,1533.00130844909
150,100.431506061362,5.341694625,100.570070125968,5.221694625,11,3,1280.78564920534
151,100.431506061362,5.221694625,100.570070125968,5.101694625,12,3,851.474844333135
152,100.431506061362,5.101694625,100.570070125968,4.981694625,13,3,369.480876990226
153,100.431506061362,4.981694625,100.570070125968,4.861694625,14,3,51.9761240948507
154,100.431506061362,4.861694625,100.570070125968,4.741694625,15,3,10.54544651625
186,100.535429109817,6.601694625,100.673993174422,6.481694625,1,4,20.318203925
187,100.535429109817,6.481694625,100.673993174422,6.361694625,2,4,15.4722895024457
188,100.535429109817,6.361694625,100.673993174422,6.241694625,3,4,117.428362348068
189,100.535429109817,6.241694625,100.673993174422,6.121694625,4,4,140.980434174294
190,100.535429109817,6.121694625,100.673993174422,6.001694625,5,4,99.1478805967027
191,100.535429109817,6.001694625,100.673993174422,5.881694625,6,4,81.0902828951364
192,100.535429109817,5.881694625,100.673993174422,5.761694625,7,4,112.888038299476
193,100.535429109817,5.761694625,100.673993174422,5.641694625,8,4,191.127333567102
194,100.535429109817,5.641694625,100.673993174422,5.521694625,9,4,255.08610236774
195,100.535429109817,5.521694625,100.673993174422,5.401694625,10,4,502.321327442433
196,100.535429109817,5.401694625,100.673993174422,5.281694625,11,4,434.543270000852
197,100.535429109817,5.281694625,100.673993174422,5.161694625,12,4,134.024985566432
198,100.535429109817,5.161694625,100.673993174422,5.041694625,13,4,124.921412166307
199,100.535429109817,5.041694625,100.673993174422,4.921694625,14,4,230.338452115311
200,100.535429109817,4.921694625,100.673993174422,4.801694625,15,4,62.9891506030055
201,100.535429109817,4.801694625,100.673993174422,4.681694625,16,4,9.0912374278629
202,100.535429109817,4.681694625,100.673993174422,4.561694625,17,4,13.2668603289508
203,100.535429109817,4.561694625,100.673993174422,4.441694625,18,4,140.837260111429
204,100.535429109817,4.441694625,100.673993174422,4.321694625,19,4,101.914944858841
205,100.535429109817,4.321694625,100.673993174422,4.201694625,20,4,313.396260171043
206,100.535429109817,4.201694625,100.673993174422,4.081694625,21,4,438.1766920075
