id,left,top,right,bottom,row_index,col_index,NUMPOINTS
1,100.119736915999994,6.721694625000000,100.258300980605497,6.601694625000000,0,0,44
2,100.119736915999994,6.601694625000000,100.258300980605497,6.481694625000000,1,0,209
3,100.119736915999994,6.481694625000000,100.258300980605497,6.361694625000000,2,0,556
4,100.119736915999994,6.361694625000000,100.258300980605497,6.241694625000000,3,0,238
5,100.119736915999994,6.241694625000000,100.258300980605497,6.121694625000000,4,0,7
11,100.119736915999994,5.521694625000000,100.258300980605497,5.401694625000000,10,0,28
12,100.119736915999994,5.401694625000000,100.258300980605497,5.281694625000000,11,0,311
13,100.119736915999994,5.281694625000000,100.258300980605497,5.161694625000000,12,0,0
47,100.223659964454129,6.661694625000000,100.362224029059647,6.541694625000000,0,1,131
48,100.223659964454129,6.541694625000000,100.362224029059647,6.421694625000000,1,1,383
49,100.223659964454129,6.421694625000000,100.362224029059647,6.301694625000000,2,1,347
50,100.223659964454129,6.301694625000000,100.362224029059647,6.181694625000000,3,1,306
51,100.223659964454129,6.181694625000000,100.362224029059647,6.061694625000000,4,1,492
52,100.223659964454129,6.061694625000000,100.362224029059647,5.941694625000000,5,1,14
53,100.223659964454129,5.941694625000000,100.362224029059647,5.821694625000000,6,1,2
54,100.223659964454129,5.821694625000000,100.362224029059647,5.701694625000000,7,1,0
55,100.223659964454129,5.701694625000000,100.362224029059647,5.581694625000000,8,1,16
56,100.223659964454129,5.581694625000000,100.362224029059647,5.461694625000000,9,1,0
57,100.223659964454129,5.461694625000000,100.362224029059647,5.341694625000000,10,1,997
58,100.223659964454129,5.341694625000000,100.362224029059647,5.221694625000000,11,1,550
60,100.223659964454129,5.101694625000000,100.362224029059647,4.981694625000000,13,1,0
94,100.327583012908249,6.601694625000000,100.466147077513781,6.481694625000000,1,2,65
95,100.327583012908249,6.481694625000000,100.466147077513781,6.361694625000000,2,2,213
96,100.327583012908249,6.361694625000000,100.466147077513781,6.241694625000000,3,2,493
97,100.327583012908249,6.241694625000000,100.466147077513781,6.121694625000000,4,2,913
98,100.327583012908249,6.121694625000000,100.466147077513781,6.001694625000000,5,2,685
99,100.327583012908249,6.001694625000000,100.466147077513781,5.881694625000000,6,2,250
100,100.327583012908249,5.881694625000000,100.466147077513781,5.761694625000000,7,2,214
101,100.327583012908249,5.761694625000000,100.466147077513781,5.641694625000000,8,2,258
102,100.327583012908249,5.641694625000000,100.466147077513781,5.521694625000000,9,2,449
103,100.327583012908249,5.521694625000000,100.466147077513781,5.401694625000000,10,2,869
104,100.327583012908249,5.401694625000000,100.466147077513781,5.281694625000000,11,2,900
105,100.327583012908249,5.281694625000000,100.466147077513781,5.161694625000000,12,2,111
106,100.327583012908249,5.161694625000000,100.466147077513781,5.041694625000000,13,2,268
107,100.327583012908249,5.041694625000000,100.466147077513781,4.921694625000000,14,2,88
140,100.431506061362398,6.541694625000000,100.570070125967916,6.421694625000000,1,3,59
141,100.431506061362398,6.421694625000000,100.570070125967916,6.301694625000000,2,3,53
142,100.431506061362398,6.301694625000000,100.570070125967916,6.181694625000000,3,3,190
143,100.431506061362398,6.181694625000000,100.570070125967916,6.061694625000000,4,3,327
144,100.431506061362398,6.061694625000000,100.570070125967916,5.941694625000000,5,3,326
145,100.431506061362398,5.941694625000000,100.570070125967916,5.821694625000000,6,3,316
146,100.431506061362398,5.821694625000000,100.570070125967916,5.701694625000000,7,3,328
147,100.431506061362398,5.701694625000000,100.570070125967916,5.581694625000000,8,3,1410
148,100.431506061362398,5.581694625000000,100.570070125967916,5.461694625000000,9,3,729
149,100.431506061362398,5.461694625000000,100.570070125967916,5.341694625000000,10,3,1137
150,100.431506061362398,5.341694625000000,100.570070125967916,5.221694625000000,11,3,945
151,100.431506061362398,5.221694625000000,100.570070125967916,5.101694625000000,12,3,716
152,100.431506061362398,5.101694625000000,100.570070125967916,4.981694625000000,13,3,281
153,100.431506061362398,4.981694625000000,100.570070125967916,4.861694625000000,14,3,3
154,100.431506061362398,4.861694625000000,100.570070125967916,4.741694625000000,15,3,0
186,100.535429109816505,6.601694625000000,100.673993174422037,6.481694625000000,1,4,0
187,100.535429109816505,6.481694625000000,100.673993174422037,6.361694625000000,2,4,3
188,100.535429109816505,6.361694625000000,100.673993174422037,6.241694625000000,3,4,136
189,100.535429109816505,6.241694625000000,100.673993174422037,6.121694625000000,4,4,129
190,100.535429109816505,6.121694625000000,100.673993174422037,6.001694625000000,5,4,117
191,100.535429109816505,6.001694625000000,100.673993174422037,5.881694625000000,6,4,92
192,100.535429109816505,5.881694625000000,100.673993174422037,5.761694625000000,7,4,117
193,100.535429109816505,5.761694625000000,100.673993174422037,5.641694625000000,8,4,124
194,100.535429109816505,5.641694625000000,100.673993174422037,5.521694625000000,9,4,261
195,100.535429109816505,5.521694625000000,100.673993174422037,5.401694625000000,10,4,297
196,100.535429109816505,5.401694625000000,100.673993174422037,5.281694625000000,11,4,290
197,100.535429109816505,5.281694625000000,100.673993174422037,5.161694625000000,12,4,122
198,100.535429109816505,5.161694625000000,100.673993174422037,5.041694625000000,13,4,108
199,100.535429109816505,5.041694625000000,100.673993174422037,4.921694625000000,14,4,246
200,100.535429109816505,4.921694625000000,100.673993174422037,4.801694625000000,15,4,47
201,100.535429109816505,4.801694625000000,100.673993174422037,4.681694625000000,16,4,1
202,100.535429109816505,4.681694625000000,100.673993174422037,4.561694625000000,17,4,0
203,100.535429109816505,4.561694625000000,100.673993174422037,4.441694625000000,18,4,11
204,100.535429109816505,4.441694625000000,100.673993174422037,4.321694624999999,19,4,25
