id,left,top,right,bottom,row_index,col_index,id_2,left_2,top_2,right_2,bottom_2,row_index_2,col_index_2,Precip_19
1,100.119736915999994,6.721694625000000,100.258300980605497,6.601694625000000,0,0,"63",100.209206916,6.632080625,100.298676916,6.542466625,"1","1",7.38611384621031
2,100.119736915999994,6.601694625000000,100.258300980605497,6.481694625000000,1,0,"64",100.209206916,6.542466625,100.298676916,6.452852625,"2","1",7.40744648238734
3,100.119736915999994,6.481694625000000,100.258300980605497,6.361694625000000,2,0,"65",100.209206916,6.452852625,100.298676916,6.363238625,"3","1",7.31128948874305
3,100.119736915999994,6.481694625000000,100.258300980605497,6.361694625000000,2,0,"66",100.209206916,6.363238625,100.298676916,6.273624625,"4","1",7.1225045357932
4,100.119736915999994,6.361694625000000,100.258300980605497,6.241694625000000,3,0,"67",100.209206916,6.273624625,100.298676916,6.184010625,"5","1",6.87892616823313
5,100.119736915999994,6.241694625000000,100.258300980605497,6.121694625000000,4,0,,,,,,,,
11,100.119736915999994,5.521694625000000,100.258300980605497,5.401694625000000,10,0,,,,,,,,
12,100.119736915999994,5.401694625000000,100.258300980605497,5.281694625000000,11,0,"77",100.209206916,5.377484625,100.298676916,5.287870625,"15","1",2.62691352972737
12,100.119736915999994,5.401694625000000,100.258300980605497,5.281694625000000,11,0,"78",100.209206916,5.287870625,100.298676916,5.198256625,"16","1",2.66241373816197
13,100.119736915999994,5.281694625000000,100.258300980605497,5.161694625000000,12,0,,,,,,,,
47,100.223659964454129,6.661694625000000,100.362224029059647,6.541694625000000,0,1,"124",100.298676916,6.632080625,100.388146916,6.542466625,"1","2",7.3709718296954
47,100.223659964454129,6.661694625000000,100.362224029059647,6.541694625000000,0,1,"125",100.298676916,6.542466625,100.388146916,6.452852625,"2","2",7.36937925374183
48,100.223659964454129,6.541694625000000,100.362224029059647,6.421694625000000,1,1,"126",100.298676916,6.452852625,100.388146916,6.363238625,"3","2",7.29109713707839
49,100.223659964454129,6.421694625000000,100.362224029059647,6.301694625000000,2,1,"127",100.298676916,6.363238625,100.388146916,6.273624625,"4","2",7.14234027053616
50,100.223659964454129,6.301694625000000,100.362224029059647,6.181694625000000,3,1,"128",100.298676916,6.273624625,100.388146916,6.184010625,"5","2",6.9425833627808
50,100.223659964454129,6.301694625000000,100.362224029059647,6.181694625000000,3,1,"129",100.298676916,6.184010625,100.388146916,6.094396625,"6","2",6.63578459502794
51,100.223659964454129,6.181694625000000,100.362224029059647,6.061694625000000,4,1,,,,,,,,
52,100.223659964454129,6.061694625000000,100.362224029059647,5.941694625000000,5,1,,,,,,,,
53,100.223659964454129,5.941694625000000,100.362224029059647,5.821694625000000,6,1,,,,,,,,
54,100.223659964454129,5.821694625000000,100.362224029059647,5.701694625000000,7,1,,,,,,,,
55,100.223659964454129,5.701694625000000,100.362224029059647,5.581694625000000,8,1,,,,,,,,
56,100.223659964454129,5.581694625000000,100.362224029059647,5.461694625000000,9,1,,,,,,,,
57,100.223659964454129,5.461694625000000,100.362224029059647,5.341694625000000,10,1,"138",100.298676916,5.377484625,100.388146916,5.287870625,"15","2",2.44112300077009
58,100.223659964454129,5.341694625000000,100.362224029059647,5.221694625000000,11,1,"139",100.298676916,5.287870625,100.388146916,5.198256625,"16","2",2.43511404210441
60,100.223659964454129,5.101694625000000,100.362224029059647,4.981694625000000,13,1,,,,,,,,
94,100.327583012908249,6.601694625000000,100.466147077513781,6.481694625000000,1,2,"186",100.388146916,6.542466625,100.477616916,6.452852625,"2","3",7.29856908092152
95,100.327583012908249,6.481694625000000,100.466147077513781,6.361694625000000,2,2,"187",100.388146916,6.452852625,100.477616916,6.363238625,"3","3",7.22432013542093
95,100.327583012908249,6.481694625000000,100.466147077513781,6.361694625000000,2,2,"188",100.388146916,6.363238625,100.477616916,6.273624625,"4","3",7.09590381967091
