id,left,top,right,bottom,row_index,col_index,id_2,left_2,top_2,right_2,bottom_2,row_index_2,col_index_2,API_19
"1",100.119736916,6.721694625,100.258300980606,6.601694625,"0","0","63",100.209206916,6.632080625,100.298676916,6.542466625,"1","1",51.6589411608935
"2",100.119736916,6.601694625,100.258300980606,6.481694625,"1","0","64",100.209206916,6.542466625,100.298676916,6.452852625,"2","1",51.3042399047624
"3",100.119736916,6.481694625,100.258300980606,6.361694625,"2","0","65",100.209206916,6.452852625,100.298676916,6.363238625,"3","1",51.2799922380168
"3",100.119736916,6.481694625,100.258300980606,6.361694625,"2","0","66",100.209206916,6.363238625,100.298676916,6.273624625,"4","1",51.4829400589173
"4",100.119736916,6.361694625,100.258300980606,6.241694625,"3","0","67",100.209206916,6.273624625,100.298676916,6.184010625,"5","1",51.7214208061793
"5",100.119736916,6.241694625,100.258300980606,6.121694625,"4","0",,,,,,,,
"11",100.119736916,5.521694625,100.258300980606,5.401694625,"10","0",,,,,,,,
"12",100.119736916,5.401694625,100.258300980606,5.281694625,"11","0","77",100.209206916,5.377484625,100.298676916,5.287870625,"15","1",55.6271429348012
"12",100.119736916,5.401694625,100.258300980606,5.281694625,"11","0","78",100.209206916,5.287870625,100.298676916,5.198256625,"16","1",55.7516046402066
"13",100.119736916,5.281694625,100.258300980606,5.161694625,"12","0",,,,,,,,
"47",100.223659964454,6.661694625,100.36222402906,6.541694625,"0","1","124",100.298676916,6.632080625,100.388146916,6.542466625,"1","2",51.7220777971701
"47",100.223659964454,6.661694625,100.36222402906,6.541694625,"0","1","125",100.298676916,6.542466625,100.388146916,6.452852625,"2","2",51.4590285131831
"48",100.223659964454,6.541694625,100.36222402906,6.421694625,"1","1","126",100.298676916,6.452852625,100.388146916,6.363238625,"3","2",51.383358410963
"49",100.223659964454,6.421694625,100.36222402906,6.301694625,"2","1","127",100.298676916,6.363238625,100.388146916,6.273624625,"4","2",51.4738367435272
"50",100.223659964454,6.301694625,100.36222402906,6.181694625,"3","1","128",100.298676916,6.273624625,100.388146916,6.184010625,"5","2",51.6289492935267
"50",100.223659964454,6.301694625,100.36222402906,6.181694625,"3","1","129",100.298676916,6.184010625,100.388146916,6.094396625,"6","2",51.8748482654431
"51",100.223659964454,6.181694625,100.36222402906,6.061694625,"4","1",,,,,,,,
"52",100.223659964454,6.061694625,100.36222402906,5.941694625,"5","1",,,,,,,,
"53",100.223659964454,5.941694625,100.36222402906,5.821694625,"6","1",,,,,,,,
"54",100.223659964454,5.821694625,100.36222402906,5.701694625,"7","1",,,,,,,,
"55",100.223659964454,5.701694625,100.36222402906,5.581694625,"8","1",,,,,,,,
"56",100.223659964454,5.581694625,100.36222402906,5.461694625,"9","1",,,,,,,,
"57",100.223659964454,5.461694625,100.36222402906,5.341694625,"10","1","138",100.298676916,5.377484625,100.388146916,5.287870625,"15","2",55.6176823084603
"58",100.223659964454,5.341694625,100.36222402906,5.221694625,"11","1","139",100.298676916,5.287870625,100.388146916,5.198256625,"16","2",55.7498048018162
"60",100.223659964454,5.101694625,100.36222402906,4.981694625,"13","1",,,,,,,,
"94",100.327583012908,6.601694625,100.466147077514,6.481694625,"1","2","186",100.388146916,6.542466625,100.477616916,6.452852625,"2","3",51.6956075843311
"95",100.327583012908,6.481694625,100.466147077514,6.361694625,"2","2","187",100.388146916,6.452852625,100.477616916,6.363238625,"3","3",51.6021841646789
"95",100.327583012908,6.481694625,100.466147077514,6.361694625,"2","2","188",100.388146916,6.363238625,100.477616916,6.273624625,"4","3",51.6189210882298
"96",100.327583012908,6.361694625,100.466147077514,6.241694625,"3","2","189",100.388146916,6.273624625,100.477616916,6.184010625,"5","3",51.6980481529329
"97",100.327583012908,6.241694625,100.466147077514,6.121694625,"4","2","190",100.388146916,6.184010625,100.477616916,6.094396625,"6","3",51.8612039402065
"98",100.327583012908,6.121694625,100.466147077514,6.001694625,"5","2","191",100.388146916,6.094396625,100.477616916,6.004782625,"7","3",52.2986059284622
"98",100.327583012908,6.121694625,100.466147077514,6.001694625,"5","2","192",100.388146916,6.004782625,100.477616916,5.915168625,"8","3",52.7537836356363
"99",100.327583012908,6.001694625,100.466147077514,5.881694625,"6","2","193",100.388146916,5.915168625,100.477616916,5.825554625,"9","3",53.2086300055429
"100",100.327583012908,5.881694625,100.466147077514,5.761694625,"7","2","194",100.388146916,5.825554625,100.477616916,5.735940625,"10","3",53.6657792593486
"101",100.327583012908,5.761694625,100.466147077514,5.641694625,"8","2","195",100.388146916,5.735940625,100.477616916,5.646326625,"11","3",54.1113452750041
"101",100.327583012908,5.761694625,100.466147077514,5.641694625,"8","2","196",100.388146916,5.646326625,100.477616916,5.556712625,"12","3",54.5254402833025
