BIL,STESEN,LOKASI,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
47,MR 312,Jalan Melaka-Masjid Tanah-Lubok China,"16,602","10,867","16,916","17,439","18,320","18,593","18,558","16,661","15,088","26,338"
48,NR 304,Seremban-Port Dickson (Lukut),"59,864","62,112","57,613","41,295","48,851","48,557","36,878","30,582","5,808","12,860"
49,NR 403,Seremban-Tampin,"12,645","11,459","12,465","12,737","13,415","13,334","13,449","11,704","5,379","15,466"
50,NR 501,Seremban-Kuala Lumpur (Old road),"10,671","11,810","11,870","10,984","11,314","11,088","11,339","9,731","3,346","9,901"
51,NR 505,Seremban-Gemas,"50,484","48,002","47,976","48,966","49,199","51,260","48,647","43,883","44,176","58,212"
52,PR 116,Butterworth-Ipoh,"64,993","48,588","65,716","59,320","52,095","52,205","51,562","43,931","34,453","46,194"
53,PR 201,George Town-Telok Bahang,"27,106","28,419","24,774","23,255","22,006","22,365","29,350","24,991","16,432","33,790"
54,PR 203,George Town-Bayan Lepas-Gelugor,"62,207","63,049","62,464","56,678","61,819","64,144","56,917","49,901","41,317","61,173"
55,RR 106,Kangar-Alor Star,"13,042","14,367","14,707","15,279","14,351","14,524","15,891","13,899","11,832","15,481"
56,TR 103,K. Terengganu-Jerteh-Kota Bharu,"27,066","19,490","23,584","22,605","21,136","20,946","19,092","15,972","14,946","15,580"
57,TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),"29,864","28,124","28,171","24,852","23,209","23,023","23,148","19,357","16,848","28,498"
58,TR 305,Cheneh-K. Terengganu (Jln. Jabor-Jerangau),"8,036","7,667","4,105","3,992","4,268","4,136","4,202","3,781","3,091","4,941"
59,TR 402,K. Terengganu-Marang,"31,227","31,686","24,887","34,408","35,427","36,656","35,124","31,387","25,665","34,818"
60,TR 502,K. Terengganu-Ajil-Jerangau,"8,715","8,739","9,561","9,047","10,410","9,847","11,561","10,932","8,412","11,208"
61,WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),"160,694","132,401","111,097","122,688","3,024","98,490","95,537","77,964","51,360","110,491"
62,WR 102,Kuala Lumpur-Ipoh,"253,179","214,760","211,188","69,218","138,477","134,184","132,621","103,473","76,646","159,348"
63,WR 103,Kuala Lumpur-Ipoh,"216,424","192,223","162,596","205,686","144,046","140,589","138,507","113,825","90,749","156,066"
