id,left,top,right,bottom,row_index,col_index
"1",100.119736916,6.721694625,100.258300980606,6.601694625,"0","0"
"2",100.119736916,6.601694625,100.258300980606,6.481694625,"1","0"
"3",100.119736916,6.481694625,100.258300980606,6.361694625,"2","0"
"4",100.119736916,6.361694625,100.258300980606,6.241694625,"3","0"
"5",100.119736916,6.241694625,100.258300980606,6.121694625,"4","0"
"11",100.119736916,5.521694625,100.258300980606,5.401694625,"10","0"
"12",100.119736916,5.401694625,100.258300980606,5.281694625,"11","0"
"13",100.119736916,5.281694625,100.258300980606,5.161694625,"12","0"
"47",100.223659964454,6.661694625,100.36222402906,6.541694625,"0","1"
"48",100.223659964454,6.541694625,100.36222402906,6.421694625,"1","1"
"49",100.223659964454,6.421694625,100.36222402906,6.301694625,"2","1"
"50",100.223659964454,6.301694625,100.36222402906,6.181694625,"3","1"
"51",100.223659964454,6.181694625,100.36222402906,6.061694625,"4","1"
"52",100.223659964454,6.061694625,100.36222402906,5.941694625,"5","1"
"53",100.223659964454,5.941694625,100.36222402906,5.821694625,"6","1"
"54",100.223659964454,5.821694625,100.36222402906,5.701694625,"7","1"
"55",100.223659964454,5.701694625,100.36222402906,5.581694625,"8","1"
"56",100.223659964454,5.581694625,100.36222402906,5.461694625,"9","1"
"57",100.223659964454,5.461694625,100.36222402906,5.341694625,"10","1"
"58",100.223659964454,5.341694625,100.36222402906,5.221694625,"11","1"
"60",100.223659964454,5.101694625,100.36222402906,4.981694625,"13","1"
"94",100.327583012908,6.601694625,100.466147077514,6.481694625,"1","2"
"95",100.327583012908,6.481694625,100.466147077514,6.361694625,"2","2"
"96",100.327583012908,6.361694625,100.466147077514,6.241694625,"3","2"
"97",100.327583012908,6.241694625,100.466147077514,6.121694625,"4","2"
"98",100.327583012908,6.121694625,100.466147077514,6.001694625,"5","2"
"99",100.327583012908,6.001694625,100.466147077514,5.881694625,"6","2"
"100",100.327583012908,5.881694625,100.466147077514,5.761694625,"7","2"
"101",100.327583012908,5.761694625,100.466147077514,5.641694625,"8","2"
"102",100.327583012908,5.641694625,100.466147077514,5.521694625,"9","2"
"103",100.327583012908,5.521694625,100.466147077514,5.401694625,"10","2"
"104",100.327583012908,5.401694625,100.466147077514,5.281694625,"11","2"
"105",100.327583012908,5.281694625,100.466147077514,5.161694625,"12","2"
"106",100.327583012908,5.161694625,100.466147077514,5.041694625,"13","2"
"107",100.327583012908,5.041694625,100.466147077514,4.921694625,"14","2"
"140",100.431506061362,6.541694625,100.570070125968,6.421694625,"1","3"
"141",100.431506061362,6.421694625,100.570070125968,6.301694625,"2","3"
"142",100.431506061362,6.301694625,100.570070125968,6.181694625,"3","3"
"143",100.431506061362,6.181694625,100.570070125968,6.061694625,"4","3"
"144",100.431506061362,6.061694625,100.570070125968,5.941694625,"5","3"
"145",100.431506061362,5.941694625,100.570070125968,5.821694625,"6","3"
"146",100.431506061362,5.821694625,100.570070125968,5.701694625,"7","3"
"147",100.431506061362,5.701694625,100.570070125968,5.581694625,"8","3"
"148",100.431506061362,5.581694625,100.570070125968,5.461694625,"9","3"
"149",100.431506061362,5.461694625,100.570070125968,5.341694625,"10","3"
"150",100.431506061362,5.341694625,100.570070125968,5.221694625,"11","3"
"151",100.431506061362,5.221694625,100.570070125968,5.101694625,"12","3"
"152",100.431506061362,5.101694625,100.570070125968,4.981694625,"13","3"
"153",100.431506061362,4.981694625,100.570070125968,4.861694625,"14","3"
"154",100.431506061362,4.861694625,100.570070125968,4.741694625,"15","3"
"186",100.535429109817,6.601694625,100.673993174422,6.481694625,"1","4"
"187",100.535429109817,6.481694625,100.673993174422,6.361694625,"2","4"
"188",100.535429109817,6.361694625,100.673993174422,6.241694625,"3","4"
"189",100.535429109817,6.241694625,100.673993174422,6.121694625,"4","4"
"190",100.535429109817,6.121694625,100.673993174422,6.001694625,"5","4"
"191",100.535429109817,6.001694625,100.673993174422,5.881694625,"6","4"
"192",100.535429109817,5.881694625,100.673993174422,5.761694625,"7","4"
"193",100.535429109817,5.761694625,100.673993174422,5.641694625,"8","4"
"194",100.535429109817,5.641694625,100.673993174422,5.521694625,"9","4"
"195",100.535429109817,5.521694625,100.673993174422,5.401694625,"10","4"
