"","location","lon","lat","API"
"1","Alor.Gajah , Malaysia",102.2115611,2.382211,25
"2","Alor.Setar , Malaysia",100.3671695,6.1263074,27
"3","Balik.Pulau , Malaysia",100.2349501,5.350316,22
"4","Balok.Baru.Kuantan , Malaysia",103.36558,3.93355,30
"5","Bandaraya.Melaka , Malaysia",102.2500868,2.189594,31
"6","Banting , Malaysia",101.5025551,2.812098,NA
"7","Batu.Muda , Malaysia",101.6859031,3.213372,32
"8","Batu.Pahat , Malaysia",102.9288341,1.849442,24
"9","Besut , Malaysia",102.5635028,5.7952741,20
"11","Bukit.Rambai , Malaysia",102.1890042,2.2530034,32
"12","Cheras , Malaysia",101.7259197,3.1068447,34
"13","Indera.Mahkota.Kuantan , Malaysia",103.296973,3.820763,25
"14","Jerantut , Malaysia",102.3620378,3.937395,24
"15","Kangar , Malaysia",100.1983709,6.440633,26
"17","Kemaman , Malaysia",103.4211031,4.235359,29
"20","Klang , Malaysia",101.4455621,3.044917,NA
"21","Kluang , Malaysia",103.3356272,2.0681262,24
"22","Kota.Bharu , Malaysia",102.2379201,6.1251424,31
"24","Kota.Tinggi , Malaysia",103.8990801,1.7289043,27
"25","Kuala.Selangor , Malaysia",101.2541883,3.3332267,NA
"26","Kuala.Terengganu , Malaysia",103.1412157,5.3283231,28
"28","Kulim , Malaysia",100.5553372,5.371742,21
"31","Larkin , Malaysia",103.7347091,1.4915057,32
"35","Muar , Malaysia",102.5848717,2.0630519,28
"37","Nilai , Malaysia",101.7988711,2.802455,41
"38","Paka , Malaysia",103.4399588,4.626581,24
"39","Pasir.Gudang , Malaysia",103.9029689,1.470288,32
"40","Pegoh.Ipoh , Malaysia",101.0854776,4.5552418,36
"41","Pengerang , Malaysia",104.1111109,1.3647023,23
"42","Petaling.Jaya , Malaysia",101.5944885,3.1278871,NA
"43","Port.Dickson , Malaysia",101.7962932,2.52254,30
"44","Putrajaya , Malaysia",101.696445,2.926361,34
"45","Rompin , Malaysia",103.4860593,2.7959053,22
"50","Seberang.Jaya , Malaysia",100.3989242,5.3818942,36
"51","Seberang.Perai , Malaysia",100.4139476,5.3700335,30
"52","Segamat , Malaysia",102.8207542,2.50346,27
"53","Seremban , Malaysia",101.9378239,2.725889,28
"54","Seri.Manjung , Malaysia",100.664788,4.195868,31
"55","Shah.Alam , Malaysia",101.518461,3.073281,NA
"58","Sungai.Petani , Malaysia",100.4894179,5.643589,35
"59","Taiping , Malaysia",100.7416339,4.851932,37
"60","Tanah.Merah , Malaysia",102.1470772,5.808887,26
"61","Tangkak , Malaysia",102.5419882,2.271093,NA
"62","Tanjung.Malim , Malaysia",101.52027,3.679539,26
"63","Tasek.Ipoh , Malaysia",101.1202978,4.6528554,36
"65","Temerloh , Malaysia",102.4163482,3.448649,28
