"","location","lon","lat","2017","2018","2019"
"82","Pontian , Malaysia",103.3878589,1.485561,13050,12985,14607
"83","Batu Pahat (near Hospital Pontian) , Malaysia",102.9288341,1.849442,13050,12985,14607
"84","Johor Bahru , Malaysia",103.7642576,1.4798575,16518,16819,16824
"85","Segamat , Malaysia",102.8207542,2.50346,16518,16819,16824
"86","Batu Anam , Malaysia",102.7074128,2.577145,16518,16819,16824
"87","Alor Star , Malaysia",100.3671695,6.1263074,39669,40387,31183
"88","Jitra , Malaysia",100.420232,6.264421,39669,40387,31183
"89","Alor Setar , Malaysia",100.3671695,6.1263074,20749,21195,19585
"90","Sungai Petani , Malaysia",100.4894179,5.643589,20749,21195,19585
"91","Butterworth , Malaysia",100.388192,5.4380309,20749,21195,19585
"92","Alor Setar , Malaysia",100.3671695,6.1263074,17748,17695,17083
"93","Sungai Petani , Malaysia",100.4894179,5.643589,17748,17695,17083
"94","Jalan Melaka , Malaysia",101.6971335,3.1499411,16329,16525,14823
"95","Muar , Malaysia",102.5848717,2.0630519,16329,16525,14823
"96","Lebuh AMJ (Alor Gajah , Malaysia",102.2157527,2.3758987,17780,19098,17151
"97","Kendong) , Malaysia",101.975766,4.210484,17780,19098,17151
"98","Jalan Melaka , Malaysia",101.6971335,3.1499411,18320,18593,18558
"99","Masjid Tanah , Malaysia",102.1089262,2.352279,18320,18593,18558
"100","Lubok China , Malaysia",102.0715049,2.454786,18320,18593,18558
"101","Seremban , Malaysia",101.9378239,2.725889,48851,48557,36878
"102","Port Dickson (Lukut) , Malaysia",101.8402582,2.5780317,48851,48557,36878
"103","Seremban , Malaysia",101.9378239,2.725889,13415,13334,13449
"104","Tampin , Malaysia",102.231194,2.472971,13415,13334,13449
"105","Seremban , Malaysia",101.9378239,2.725889,11314,11088,11339
"106","Kuala Lumpur (Old road) , Malaysia",101.6944619,3.1499222,11314,11088,11339
"107","Seremban , Malaysia",101.9378239,2.725889,49199,51260,48647
"108","Gemas , Malaysia",102.612488,2.581593,49199,51260,48647
"109","Butterworth , Malaysia",100.388192,5.4380309,52095,52205,51562
"110","Ipoh , Malaysia",101.0757837,4.6005126,52095,52205,51562
"111","George Town , Malaysia",100.3287506,5.4141307,22006,22365,29350
"112","Telok Bahang , Malaysia",100.213573,5.457317,22006,22365,29350
"113","George Town , Malaysia",100.3287506,5.4141307,61819,64144,56917
"114","Bayan Lepas , Malaysia",100.2593272,5.294464,61819,64144,56917
"115","Gelugor , Malaysia",100.3096991,5.369118,61819,64144,56917
"116","Kangar , Malaysia",100.1983709,6.440633,14351,14524,15891
"117","Alor Star , Malaysia",100.3671695,6.1263074,14351,14524,15891
"118","K. Terengganu , Malaysia",103.1412157,5.3283231,21136,20946,19092
"119","Jerteh , Malaysia",102.494898,5.737589,21136,20946,19092
"120","Kota Bharu , Malaysia",102.2379201,6.1251424,21136,20946,19092
"121","Kuala Terengganu , Malaysia",103.1412157,5.3283231,23209,23023,23148
"122","Dungun , Malaysia",103.4155861,4.754876,23209,23023,23148
"123","Kemaman (Kuala Dungun , Malaysia",103.4155861,4.754876,23209,23023,23148
"124","Paka) , Malaysia",103.4399588,4.626581,23209,23023,23148
"125","Cheneh , Malaysia",101.975766,4.210484,4268,4136,4202
"126","K. Terengganu (Jln. Jabor , Malaysia",103.1412157,5.3283231,4268,4136,4202
"127","Jerangau) , Malaysia",103.1956645,4.8319672,4268,4136,4202
"128","K. Terengganu , Malaysia",103.1412157,5.3283231,35427,36656,35124
"129","Marang , Malaysia",103.204944,5.207711,35427,36656,35124
"130","K. Terengganu , Malaysia",103.1412157,5.3283231,10410,9847,11561
"131","Ajil , Malaysia",103.088047,5.084738,10410,9847,11561
"132","Jerangau , Malaysia",103.1956645,4.8319672,10410,9847,11561
"133","Kuala Lumpur , Malaysia",101.6944619,3.1499222,3024,98490,95537
"134","Kuala Selangor (Jalan Kepong) , Malaysia",101.6509284,3.2095985,3024,98490,95537
"135","Kuala Lumpur , Malaysia",101.6944619,3.1499222,138477,134184,132621
"136","Ipoh , Malaysia",101.0757837,4.6005126,138477,134184,132621
"137","Kuala Lumpur , Malaysia",101.6944619,3.1499222,144046,140589,138507
"138","Ipoh , Malaysia",101.0757837,4.6005126,144046,140589,138507
